분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,98912659.44692737,57743648.305410124,25311047.496,23483944.23275862,79218810.64171124,69414036.0,52371673.62622951,38175839.91532258,64024387.16842105,59710837.16304348,78274914.11666666,74097633.14269274,92857519.47011952,65200000.0,68480243.77042802,62816455.882249564
중식,129144025.70967741,66038518.13636363,22250000.25,58083333.333333336,66374229.43307087,87747170.24,59508259.7368421,131433891.5,144291575.5,inf,67552065.16666667,63633333.483333334,109426809.3888889,45250000.25,74527298.24,46062500.0
일식,65773793.333333336,21607143.0,555555.5,,111938467.36722307,50278901.88679245,86200000.3,10843829.0,84628502.24242425,44624999.5,84499999.75,107755051.56849316,87782356.66666667,15292517.0,80052728.53333333,129904930.475
양식,85368832.61290322,62283696.94444445,54999999.75,81000000.25,86855236.3925,54082893.95,11445394.0,49339675.5,61016564.43165468,28500000.0,,128404056.8508772,114694044.85,42160984.38888889,221995307.14285713,59466666.833333336
제과점,59434782.652173914,32151515.166666668,88139012.38461539,158000000.5,73572862.56349206,14958114.6,61052890.878787875,81677606.9,40571428.571428575,41499999.833333336,52750000.75,97638297.95744681,94031688.46875,,116078980.22727273,83887824.66666667
패스트푸드점,108078087.95833333,43086308.90384615,21103448.55172414,142600000.8,71210050.05594406,296451.0,94328436.58333333,27687500.125,34454545.54545455,85391987.4,39666666.5,59852757.179487176,84750000.58333333,,42634700.5,77071428.28571428
치킨전문점,128976612.27272727,15954276.018181818,34103363.63934426,7344827.827586207,64449854.05022831,31639684.0,68897720.8,,34410750.89473684,56038741.9375,42400000.0,81682937.4375,55276902.178571425,33999999.90909091,28207781.333333332,81300000.05
분식,52164642.69,18725553.223076925,18337356.15254237,9093601.533333333,54095598.698961936,46202284.11111111,41303404.40789474,12507926.59375,22347652.72857143,24147604.44827586,12922110.8,53820767.58152174,39573084.863247864,8194758.888888889,48465434.166666664,25438196.843137253
호프,76250764.29411764,23425855.87684729,15304793.805555556,31319864.387096774,71515664.30535638,32438311.63095238,36682833.54054054,39989920.777777776,51086524.77160494,53518218.0,27210526.42105263,66798517.46753247,54619491.288461536,29948718.0,41146876.79452055,46998528.57668712
커피,74405281.91608392,34407318.09565217,26363636.666666668,30126520.135135137,68764010.75362319,56350471.65034965,31232467.270833332,12492418.604166666,40753250.466019414,24339291.29310345,42640123.48275862,69173868.48571429,68859839.27102804,20771428.914285716,43663055.625,31729072.472222224
