분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,1634.651485148515,1767.668085106383,1257.9661016949153,987.0089285714286,1830.0011049723757,1924.529761904762,2676.2886297376094,1683.8084112149534,1464.8271954674221,1271.2596685082874,1334.2289156626507,1761.887733887734,2273.3796477495107,876.054794520548,1264.580357142857,1476.452302631579
중식,1428.35,1541.7631578947369,542.4117647058823,5149.25,1739.0096774193548,3084.162162162162,1102.6296296296296,3099.777777777778,2017.4166666666667,inf,1992.7272727272727,1293.144144144144,2950.1702127659573,,975.7142857142857,2679.05
일식,773.9166666666666,1416.84375,,,1894.5952045133993,1737.8157894736842,1738.3055555555557,,1063.4318181818182,3324.0,2943.0,952.110599078341,1780.7377049180327,345.3333333333333,501.4375,946.3947368421053
양식,630.28,1371.6129032258063,,760.375,1381.6608015640275,1584.9213483146068,511.4271844660194,2307.25,1058.986531986532,215.0,,1896.2642857142857,3790.681818181818,1428.8,1595.2222222222222,4335.0
제과점,11359.333333333334,8846.232142857143,4470.181818181818,19458.583333333332,4417.5758426966295,756.6428571428571,4056.188679245283,5256.685714285714,825.9130434782609,6061.666666666667,6739.5,5290.265060240964,7352.653846153846,,5890.85,2036.6363636363637
패스트푸드점,2704.45,5311.186046511628,566.25,,2588.5833333333335,3436.75,11123.382352941177,411.75,445.4117647058824,1356.4,567.1818181818181,7573.398148148148,1309.0,,1562.6153846153845,1643.25
치킨전문점,857.4545454545455,1237.8939393939395,1569.0357142857142,576.0526315789474,1053.215909090909,888.5757575757576,2860.8125,577.0,1175.0,3311.8333333333335,997.9583333333334,2521.714285714286,2213.7021276595747,444.57142857142856,1156.0,2854.6
분식,1181.6521739130435,936.7741935483871,2082.4285714285716,552.5744680851063,2198.135593220339,2560.6486486486488,5155.469879518072,1157.4054054054054,1963.470238095238,1389.6363636363637,1706.2391304347825,6140.057553956834,2774.6884057971015,505.8,3119.391304347826,1351.1333333333334
호프,654.6397058823529,758.5986394557823,147.15686274509804,229.7037037037037,1440.6063829787233,698.2962962962963,1040.313432835821,1334.425,789.6793248945148,1546.3,1132.0487804878048,2372.1342281879197,1526.0111111111112,845.2962962962963,348.73333333333335,1150.951923076923
커피,3728.185185185185,3310.958579881657,4462.083333333333,4698.80701754386,4844.961735884274,5503.235294117647,2566.8357487922704,2935.8275862068967,4219.741935483871,1190.8148148148148,7545.773584905661,5667.546788990826,5966.578947368421,2367.05,4760.9795918367345,3200.690909090909
