,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10631,2021,1,A,골목상권,2110577,용강동주민센터,CS100005,제과점,113416917.0,9165,79,21,15,15,19,15,16,21,0,0,12,32,26,27,2,40,60,0,5,21,37,23,14,89838348.0,23578569.0,16767225.0,16409214.0,21418564.0,17274556.0,17968789.0,23578569.0,0.0,0,13392861.0,36568795.0,29790481.0,31064007.0,2600773,40905398.0,61331286.0,51473,5465856,21873122.0,37531634.0,23553933.0,13760666.0,7421,1744,1429,1345,1837,1390,1420,1744,0,0,1180,2762,2539,2464,220,3248,5207,10,505,1910,2973,1955,1105,3
46070,2021,2,A,골목상권,2110577,용강동주민센터,CS100005,제과점,120802756.0,10014,77,23,14,15,17,14,17,23,0,0,13,29,27,28,2,45,56,0,6,21,33,24,16,93258187.0,27544569.0,17170861.0,18237347.0,20825876.0,17143475.0,19880628.0,27544569.0,0.0,0,16033863.0,35502158.0,32948710.0,34035633.0,2282392,48511371.0,60579233.0,395291,6790006,22471505.0,35664272.0,26468389.0,17301143.0,7966,2048,1530,1603,1759,1484,1590,2048,0,0,1335,2908,2804,2802,165,3822,5462,25,695,1980,2972,2200,1415,3
81442,2021,3,A,골목상권,2110577,용강동주민센터,CS100005,제과점,116758048.0,9724,78,22,12,13,19,17,17,22,0,0,16,31,27,26,1,38,62,0,6,17,34,25,19,90992086.0,25765962.0,14008084.0,15693894.0,21693618.0,19399831.0,20196659.0,25765962.0,0.0,0,18817140.0,35917438.0,31501576.0,29815718.0,706176,41190447.0,66115804.0,0,6301915,17887132.0,35997996.0,26348903.0,20770306.0,7975,1749,1305,1404,1908,1729,1629,1749,0,0,1525,2849,2602,2668,80,3312,5857,0,625,1565,3052,2310,1620,4
116447,2021,4,A,골목상권,2110577,용강동주민센터,CS100005,제과점,105831231.0,8251,82,18,11,14,21,15,21,18,0,0,11,31,27,29,1,42,58,0,7,19,36,22,16,86333051.0,19498180.0,11397517.0,14618262.0,22188906.0,16276084.0,21852282.0,19498180.0,0.0,0,11800954.0,33229561.0,28649335.0,31026776.0,1124605,40340596.0,56075317.0,136428,7085099,17815769.0,34770345.0,20929472.0,15678800.0,6767,1484,1000,1330,1633,1265,1539,1484,0,0,995,2522,2255,2394,85,3018,4737,10,575,1515,2744,1765,1150,3
23904,2021,1,D,발달상권,2120106,마포역,CS100005,제과점,290043943.0,40200,87,13,16,18,20,14,20,9,4,0,25,23,20,27,5,42,58,0,16,28,32,15,9,253583985.0,36459958.0,46612073.0,53325901.0,57145144.0,39826010.0,56674857.0,25597004.0,10862954.0,0,72552450.0,66100529.0,58140693.0,77631486.0,15618785,103501393.0,142461266.0,741799,38369553,69596747.0,78571530.0,37464112.0,21218914.0,35618,4582,7195,7500,7966,5994,6963,3174,1408,0,14108,7851,7146,9648,1447,14652,23275,190,7414,11751,10759,5247,2566,9
59358,2021,2,D,발달상권,2120106,마포역,CS100005,제과점,344551496.0,46566,85,15,17,16,14,19,19,11,4,0,30,23,18,23,5,42,58,1,14,27,31,18,8,293359362.0,51192134.0,58545947.0,55758044.0,49287310.0,64730678.0,65037383.0,39061280.0,12130854.0,24947,104169656.0,80193740.0,62478604.0,79210785.0,18473764,123472384.0,168543518.0,1562429,41611589,79973121.0,91767943.0,52467401.0,24633421.0,40522,6044,8390,8023,7033,8524,8552,4489,1555,5,17432,9648,7887,9747,1847,17282,26704,239,7969,13191,12472,6883,3235,9
94601,2021,3,D,발달상권,2120106,마포역,CS100005,제과점,178753384.0,27624,84,16,14,16,15,19,21,11,6,0,35,19,17,24,5,42,58,0,15,30,28,17,10,149501731.0,29251653.0,24581567.0,27955307.0,26454634.0,33320852.0,37189371.0,19121315.0,10130338.0,0,63137809.0,34728801.0,30027924.0,42793540.0,8065310,66474671.0,91049139.0,484341,22912287,46631696.0,44679635.0,27142097.0,15673753.0,24150,3474,4162,4355,4420,5742,5471,2134,1340,0,12224,4422,3956,6019,1003,10389,16013,120,4827,8613,6582,4138,2122,7
129447,2021,4,D,발달상권,2120106,마포역,CS100005,제과점,180424398.0,26199,85,15,14,17,16,16,22,9,6,0,33,17,15,29,6,41,59,0,18,27,24,18,12,153004584.0,27419814.0,24842013.0,29890665.0,28915110.0,29183483.0,40173313.0,16222612.0,11197202.0,0,59601343.0,31052784.0,27121184.0,51712023.0,10937064,64567261.0,91301672.0,614411,28416905,42643191.0,37578948.0,28523416.0,18092060.0,23081,3118,4063,4774,4560,4577,5107,1666,1452,0,12551,3635,3153,5764,1096,9628,15455,98,5461,7689,5866,3932,2036,6
32588,2021,1,R,전통시장,2130194,용강동 상점가,CS100005,제과점,203239317.0,13619,80,20,15,14,20,15,16,20,0,0,6,22,22,38,12,51,49,0,7,20,29,31,12,162372119.0,40867198.0,30671720.0,28453725.0,40857470.0,30580924.0,31808280.0,40867198.0,0.0,0,12339216.0,44931576.0,44860075.0,76115478.0,24992972,85855684.0,82689691.0,340481,12481084,34087885.0,48499986.0,52540854.0,20595085.0,10942,2677,2222,2189,2397,1881,2253,2677,0,0,811,3323,3518,5124,843,5707,6502,48,1183,2643,3096,3600,1638,3
68040,2021,2,R,전통시장,2130194,용강동 상점가,CS100005,제과점,202949746.0,15127,82,18,17,16,14,20,16,18,0,0,9,27,17,39,9,44,56,0,7,25,25,28,14,167020018.0,35929728.0,33763131.0,32839453.0,28188636.0,39607416.0,32621382.0,35929728.0,0.0,0,17350781.0,53903916.0,34237859.0,79517214.0,17939976,77766489.0,97977640.0,142678,12413798,44531754.0,44720477.0,49448471.0,24486952.0,12614,2513,2350,2593,2189,2887,2595,2513,0,0,1556,4426,2853,5254,1038,5805,7912,32,1248,3761,3162,3356,2157,3
