,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10634,2021,1,A,골목상권,2110577,용강동주민센터,CS100009,호프-간이주점,19061162.0,136,68,32,19,10,3,23,14,32,0,0,0,0,0,40,60,79,21,0,0,0,0,72,28,13047312.0,6013850.0,3624556.0,1832095.0,548214.0,4289185.0,2753262.0,6013850.0,0.0,0,0.0,0.0,0.0,7585186.0,11475976,13564751.0,3607250.0,0,0,0.0,0.0,12336751.0,4835250.0,109,27,34,10,5,27,33,27,0,0,0,0,0,65,71,92,16,0,0,0,0,86,22,5
46073,2021,2,A,골목상권,2110577,용강동주민센터,CS100009,호프-간이주점,17547886.0,131,78,22,11,20,18,13,17,22,0,6,0,0,0,0,94,81,19,0,13,16,32,18,21,13710386.0,3837500.0,1847482.0,3427300.0,3121389.0,2308313.0,3005902.0,3837500.0,0.0,992268,0.0,0.0,0.0,0.0,16555618,8821041.0,2033149.0,0,1427671,1756301.0,3500617.0,1943850.0,2225749.0,120,11,10,27,23,32,28,11,0,16,0,0,0,0,115,65,26,0,12,21,26,15,15,6
81445,2021,3,A,골목상권,2110577,용강동주민센터,CS100009,호프-간이주점,35192924.0,158,78,23,8,16,16,6,32,16,7,7,0,0,0,59,34,38,62,0,0,26,6,44,24,27284761.0,7908163.0,2965840.0,5460215.0,5438422.0,2236714.0,11183570.0,5517948.0,2390215.0,2302500,0.0,0.0,0.0,20884396.0,12006028,11203066.0,18140412.0,0,131571,7475209.0,1644643.0,13042018.0,7050036.0,127,31,17,27,39,23,21,15,16,16,0,0,0,71,71,54,77,0,5,15,5,38,65,5
116450,2021,4,A,골목상권,2110577,용강동주민센터,CS100009,호프-간이주점,32683108.0,411,82,18,11,17,18,21,15,8,10,16,0,1,9,28,45,70,30,0,1,12,17,27,43,26726860.0,5956248.0,3605797.0,5635571.0,5735994.0,6802548.0,4946950.0,2666963.0,3289285.0,5367019,0.0,471464.0,3015179.0,9216078.0,14613368,16531776.0,7135060.0,0,224768,2820925.0,4083902.0,6417899.0,10119339.0,354,57,53,51,67,119,64,46,11,39,0,5,5,167,195,234,63,0,5,35,73,44,138,8
23908,2021,1,D,발달상권,2120106,마포역,CS100009,호프-간이주점,447937306.0,9957,76,24,17,14,12,15,18,13,11,0,0,0,2,53,45,71,29,1,14,27,28,23,8,339012571.0,108924735.0,74428460.0,63601676.0,51844654.0,68600478.0,80537303.0,57721647.0,51203088.0,0,0.0,268168.0,7768396.0,239021120.0,200879622,229108902.0,94858438.0,3004159,44427606,88787321.0,90367821.0,73231749.0,24148685.0,7402,2555,1560,1509,1086,1467,1780,1298,1257,0,0,34,279,5370,4274,5095,2546,34,1221,2206,1840,1558,780,6
59362,2021,2,D,발달상권,2120106,마포역,CS100009,호프-간이주점,825567975.0,16694,85,15,18,16,14,20,18,8,7,1,0,3,5,28,64,68,32,0,15,23,26,27,8,705211489.0,120356486.0,149289159.0,132534645.0,113570464.0,164187016.0,145630205.0,62711632.0,57644854.0,11075689,0.0,23678344.0,38149654.0,227360154.0,525304134,435664726.0,201841917.0,505785,95958790,149469626.0,167365616.0,170396389.0,53810438.0,13973,2721,2906,2517,2346,3307,2897,1331,1390,23,0,707,1017,4636,10311,9062,4577,34,2307,3334,3529,3182,1256,11
94605,2021,3,D,발달상권,2120106,마포역,CS100009,호프-간이주점,513323473.0,11194,79,21,18,11,10,23,16,12,10,0,1,5,5,48,41,72,28,0,14,23,26,29,8,404300612.0,109022861.0,93682380.0,55064898.0,51107048.0,120037615.0,84408671.0,60319346.0,48703515.0,0,6873013.0,27037767.0,26531630.0,244426382.0,208454681,301173400.0,114671429.0,872394,58085257,96576120.0,108952781.0,119391992.0,31966287.0,8684,2510,2177,1152,1186,2236,1933,1390,1120,0,403,740,714,4654,4683,6453,2816,34,1390,2241,2416,2308,883,9
129450,2021,4,D,발달상권,2120106,마포역,CS100009,호프-간이주점,1047404765.0,18831,80,20,15,15,13,19,18,14,7,11,0,4,3,24,59,73,27,0,17,28,24,25,6,835864642.0,211540123.0,154938702.0,156389442.0,140870540.0,195603240.0,188062718.0,141638454.0,69901669.0,112810618,1897045.0,36245640.0,27420196.0,255937926.0,613093340,574995038.0,209806495.0,0,130062112,221293650.0,191637226.0,194378052.0,47430490.0,14481,4350,2669,2654,2543,3343,3272,2755,1595,1932,67,1008,779,4873,10172,10759,4472,0,2712,4223,3763,3509,1025,16
32590,2021,1,R,전통시장,2130194,용강동 상점가,CS100009,호프-간이주점,564612274.0,9904,87,13,15,17,21,17,17,11,2,0,0,0,1,39,60,78,22,0,4,18,38,30,10,492578448.0,72033826.0,85085647.0,96427030.0,120372874.0,97029745.0,93663152.0,59546334.0,12487492.0,0,0.0,0.0,3968407.0,219748893.0,340894974,272112132.0,77250717.0,0,13674168,62729404.0,133158512.0,105835819.0,33964944.0,8613,1291,1513,1729,2105,1717,1549,1052,239,0,0,0,91,4063,5750,5478,1347,0,275,1364,2556,1803,828,25
68042,2021,2,R,전통시장,2130194,용강동 상점가,CS100009,호프-간이주점,1118572625.0,17138,90,10,16,19,18,20,17,8,2,0,0,0,1,22,77,81,19,0,6,22,36,27,9,1005631742.0,112940883.0,178652289.0,214590521.0,197316736.0,220334097.0,194738099.0,91056969.0,21883914.0,0,0.0,0.0,14249774.0,243673619.0,860649232,520535282.0,122298070.0,302929,41369772,139907169.0,230774317.0,172133862.0,58345302.0,15192,1946,2743,3128,2836,3182,3303,1531,415,0,0,0,300,4070,12768,8966,2458,13,860,2306,3882,3189,1173,27
