,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10635,2021,1,A,골목상권,2110577,용강동주민센터,CS100010,커피-음료,42537877.0,8500,67,33,14,13,13,12,14,16,17,0,19,35,29,18,0,50,50,2,20,23,31,19,5,28415503.0,14122374.0,6073457.0,5708277.0,5381733.0,5201013.0,6051023.0,6947146.0,7175228.0,0,7866952.0,14761753.0,12249114.0,7510496.0,149562,20210789.0,19895462.0,653087,8152366,9267849.0,12462239.0,7621422.0,1949290.0,5895,2605,1296,1134,1159,1009,1297,1297,1308,0,1670,2766,2368,1646,50,4051,3938,150,1820,1944,2443,1246,386,3
46074,2021,2,A,골목상권,2110577,용강동주민센터,CS100010,커피-음료,73325180.0,13361,61,39,13,11,13,13,11,20,19,0,13,31,29,25,2,50,50,2,13,23,37,17,8,44697798.0,28627382.0,9401208.0,8169814.0,9534566.0,9672911.0,7919299.0,14500021.0,14127361.0,0,9302745.0,22861772.0,21353692.0,18624186.0,1182785,34829902.0,34974343.0,1416903,9067781,16192498.0,25798465.0,12012125.0,5316475.0,8861,4500,1882,1595,1894,1894,1596,2431,2069,0,2006,4401,3677,3066,211,6117,6559,279,2093,3167,4501,1742,895,3
81446,2021,3,A,골목상권,2110577,용강동주민센터,CS100010,커피-음료,76282765.0,12301,70,30,15,13,12,13,17,15,15,0,11,28,27,29,6,47,54,1,10,23,35,20,12,53247751.0,23035014.0,11701967.0,9675404.0,9418657.0,9639260.0,12812463.0,11677039.0,11357975.0,0,8262044.0,21396067.0,20276845.0,21931995.0,4415814,32933782.0,37860063.0,878104,7317475,16064324.0,24531240.0,13820122.0,8182582.0,8910,3391,2056,1621,1582,1744,1907,1733,1658,0,1733,3563,3391,3041,573,5225,6441,174,1638,2698,4029,1878,1249,3
23909,2021,1,D,발달상권,2120106,마포역,CS100010,커피-음료,452194224.0,88553,88,12,17,19,20,15,17,7,5,0,29,37,18,14,2,50,50,1,23,38,22,10,6,397876732.0,54317492.0,77111910.0,84198721.0,91193519.0,69291184.0,76081398.0,30584073.0,23733419.0,0,130509442.0,168589828.0,79256315.0,62776959.0,11061680,202157344.0,204600708.0,3088275,94450748,153614747.0,90090721.0,41394867.0,24118694.0,77516,11037,15074,16613,17034,14011,14784,5919,5118,0,30490,30885,15385,9914,1879,42414,40401,665,22592,29125,17692,8933,3801,47
59363,2021,2,D,발달상권,2120106,마포역,CS100010,커피-음료,560460531.0,108750,87,13,16,17,17,18,19,7,6,0,29,35,21,12,3,53,47,1,22,33,24,13,7,485327389.0,75133142.0,91933538.0,94127917.0,92715835.0,100987614.0,105562485.0,40338381.0,34794761.0,0,160290316.0,196884846.0,117891096.0,68507235.0,16887038,264008785.0,232565008.0,3066072,110870564,162442868.0,118290412.0,65246621.0,36657262.0,94415,14335,19056,18509,18077,19264,19509,7671,6664,0,38526,35250,19584,12757,2633,54016,47185,691,25215,34499,22543,12871,5381,47
94606,2021,3,D,발달상권,2120106,마포역,CS100010,커피-음료,552836703.0,110156,87,13,16,17,17,19,18,8,6,0,30,36,20,13,2,54,46,1,23,34,24,13,6,478916138.0,73920565.0,88196791.0,92392193.0,92527278.0,104064696.0,101735180.0,42778750.0,31141815.0,0,166853587.0,196114194.0,108827770.0,69171682.0,11869470,265520662.0,226094552.0,2234963,111515232,165091752.0,118564597.0,63200282.0,31008388.0,95788,14368,17943,18269,19036,20989,19551,8352,6016,0,39679,35208,20060,13062,2147,55096,47369,494,25399,35441,22363,12512,6261,49
129451,2021,4,D,발달상권,2120106,마포역,CS100010,커피-음료,525074574.0,97785,88,12,15,17,19,17,20,7,5,0,29,34,22,13,3,52,48,1,26,33,22,12,6,459706566.0,65368008.0,77645265.0,89088861.0,101382118.0,87388810.0,104201512.0,38600082.0,26767926.0,0,153724451.0,178316687.0,112648657.0,66366670.0,14018109,227680515.0,211573919.0,2857848,112642683,145963070.0,95574446.0,54387273.0,27829113.0,85816,11969,15308,17590,17617,16695,18606,7031,4938,0,34961,31820,17574,11281,2149,46142,44029,622,24593,31507,17501,10453,5497,53
32591,2021,1,R,전통시장,2130194,용강동 상점가,CS100010,커피-음료,73949215.0,10678,79,21,13,15,17,18,16,11,10,0,12,48,17,17,5,64,36,0,22,22,25,22,8,58178097.0,15771118.0,9810695.0,10871576.0,12506149.0,12921145.0,12068532.0,8153643.0,7617475.0,0,9145822.0,35480767.0,12752768.0,12821544.0,3748314,38819188.0,22183365.0,216520,13531807,13594088.0,15067523.0,13621693.0,4970925.0,8166,2512,1532,1624,1820,1496,1694,1400,1112,0,1846,4744,1869,1922,297,5701,3808,45,1914,2228,2637,1913,774,15
68043,2021,2,R,전통시장,2130194,용강동 상점가,CS100010,커피-음료,87608102.0,13604,78,22,13,15,17,19,15,11,11,0,13,41,16,24,6,58,42,1,21,25,24,19,9,68385686.0,19222416.0,11144943.0,13382952.0,14808577.0,16381782.0,12667432.0,9633565.0,9588851.0,0,11224660.0,36296743.0,13858602.0,20622515.0,5605582,41777712.0,30369496.0,874696,15288514,17991083.0,17417463.0,13971597.0,6603857.0,10564,3040,1962,2192,2163,2216,2031,1694,1346,0,2087,5383,2530,3110,494,6858,5200,146,2344,3170,3181,1914,1301,13
103253,2021,3,R,전통시장,2130194,용강동 상점가,CS100010,커피-음료,73312340.0,11187,77,23,14,15,14,18,17,13,10,0,19,43,17,19,3,66,34,0,20,25,25,21,8,56276907.0,17035433.0,10061523.0,10717226.0,10230419.0,13024057.0,12243682.0,9540949.0,7494484.0,0,13716787.0,31289060.0,12690787.0,13748618.0,1867088,38702708.0,20021694.0,165861,11840564,14661418.0,14699760.0,12575809.0,4780994.0,8510,2677,1415,1599,1528,2030,1938,1431,1246,0,2427,4397,2196,1985,182,6222,3416,25,1725,2393,2499,2136,861,12
