,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10630,2021,1,A,골목상권,2110577,용강동주민센터,CS100001,한식음식점,404671813.0,13257,83,17,15,16,18,17,17,12,5,0,1,41,10,44,5,60,40,0,6,20,26,24,24,336382738.0,68289075.0,60534543.0,63357985.0,73366380.0,69471003.0,69652827.0,46997490.0,21291585.0,0,5629291.0,164168597.0,38861156.0,177630365.0,18382404,162694723.0,109735471.0,208849,16179385,54107337.0,71466139.0,65993684.0,64474801.0,11036,2221,2031,2145,2603,2088,2169,1568,653,0,270,7315,1471,3960,241,6363,4789,24,835,2381,3029,2354,2531,24
46069,2021,2,A,골목상권,2110577,용강동주민센터,CS100001,한식음식점,636354151.0,15992,80,20,15,16,16,17,16,13,7,0,1,36,8,47,9,58,42,0,6,19,30,25,20,507056739.0,129297412.0,96616237.0,99444337.0,101963443.0,108139124.0,100893598.0,82187159.0,47110253.0,0,6153321.0,226040203.0,51305097.0,298643278.0,54212252,242041351.0,173549281.0,232685,23990548,79982518.0,124181524.0,102959346.0,84244009.0,13292,2700,2629,2644,2570,2744,2705,1696,1004,0,372,8381,1675,5034,530,6953,5829,19,728,2555,3724,2946,2813,26
81441,2021,3,A,골목상권,2110577,용강동주민센터,CS100001,한식음식점,519924894.0,15302,78,22,14,14,17,15,18,13,9,0,1,47,11,36,5,55,45,0,8,18,24,29,21,407860019.0,112064875.0,70871159.0,73239415.0,89870244.0,79857453.0,94021748.0,65149216.0,46915659.0,0,6869142.0,241674096.0,58414157.0,186144113.0,26823386,193745433.0,159599261.0,536338,28592266,61806569.0,85826611.0,101796827.0,74786078.0,12588,2714,2208,2413,2629,2622,2716,1627,1087,0,295,8444,1965,4314,284,6402,5846,15,976,2175,3231,3131,2722,24
116446,2021,4,A,골목상권,2110577,용강동주민센터,CS100001,한식음식점,700354734.0,16952,80,21,15,15,17,18,15,13,8,0,1,39,8,45,7,59,41,0,6,19,25,29,21,556852535.0,143502199.0,103530190.0,106440005.0,116591438.0,126632418.0,103658484.0,89369152.0,54133047.0,0,5708865.0,275860436.0,56341922.0,311764692.0,50678819,266932707.0,182924587.0,151718,25636955,84612042.0,112732005.0,130567569.0,96157005.0,13895,3057,2609,2598,2884,2947,2857,1954,1103,0,326,9227,1973,5107,319,7210,6452,10,1119,2766,3595,3314,2858,21
23900,2021,1,D,발달상권,2120106,마포역,CS100001,한식음식점,3600620204.0,86160,84,16,16,17,19,16,16,9,7,0,1,30,8,48,14,70,30,0,9,25,29,24,14,3020806207.0,579813997.0,562274420.0,622145754.0,677907462.0,587383835.0,571094736.0,328658653.0,251155344.0,0,27806249.0,1066879370.0,287745136.0,1716359301.0,501830148,1408032935.0,607040084.0,868290,172245288,498868491.0,576456493.0,480760018.0,285874442.0,76652,9508,15214,16170,16851,14272,14145,5564,3944,0,1503,53447,6425,21691,3094,42577,23170,37,8432,19452,17219,11820,8782,121
59354,2021,2,D,발달상권,2120106,마포역,CS100001,한식음식점,4005159437.0,99608,84,16,16,17,16,19,17,9,7,0,1,30,7,43,18,68,32,0,9,25,28,24,15,3360740031.0,644419406.0,629824930.0,695687738.0,628378814.0,741794015.0,665054534.0,364534047.0,279885359.0,8081640,27537544.0,1205484263.0,296643050.0,1736095096.0,731317844,1516954327.0,701036772.0,2442000,188815806,556871409.0,614068800.0,531642300.0,324150786.0,89353,10255,18608,18225,15247,18974,18299,6096,4159,103,1585,65188,7100,21354,4278,47497,28065,80,9664,22278,20457,13376,9704,129
94597,2021,3,D,발달상권,2120106,마포역,CS100001,한식음식점,2905320938.0,89278,83,17,15,14,17,21,17,9,7,0,1,40,10,38,10,67,34,0,11,24,25,24,16,2420093298.0,485227640.0,425013291.0,407309391.0,492756903.0,596944476.0,498069237.0,274489491.0,210738149.0,2209202,39057431.0,1165861199.0,301073796.0,1111759964.0,285359346,1187971489.0,598987924.0,2068647,193766369,435246466.0,443316885.0,421158613.0,291402436.0,80527,8751,14838,15334,15991,18590,15774,5357,3394,59,2568,59860,6439,17989,2363,45113,25955,126,10170,20426,17606,13188,9543,128
129443,2021,4,D,발달상권,2120106,마포역,CS100001,한식음식점,4604377408.0,101886,83,17,14,17,18,18,17,10,7,1,2,27,7,46,18,67,33,0,12,25,25,22,16,3834405269.0,769972139.0,622418872.0,774356237.0,805476659.0,844457380.0,787696121.0,436765494.0,333206645.0,27052882,89386403.0,1235233278.0,337331972.0,2095088533.0,820284340,1664116732.0,823296784.0,3677201,297382304,612818182.0,632658229.0,554249526.0,386628076.0,90082,11804,16691,18882,18572,18431,17506,6881,4923,287,3518,61480,8303,23332,4966,50505,28229,246,13150,21119,19611,14962,9652,122
32584,2021,1,R,전통시장,2130194,용강동 상점가,CS100001,한식음식점,6694006285.0,126252,75,25,14,15,15,15,16,15,10,0,2,18,9,58,13,68,33,0,8,23,28,26,15,5045652456.0,1648353829.0,950843581.0,1018113094.0,1017770086.0,993245834.0,1065679861.0,981384710.0,666969119.0,20153170,134507013.0,1193321114.0,615675490.0,3888799168.0,841550330,2928833576.0,1411236270.0,9103713,356998207,983124278.0,1219490380.0,1109546279.0,661806989.0,93881,32371,18116,18408,19374,17817,20166,18312,14059,1791,8192,35273,15163,54758,11075,64707,36236,293,16523,23306,25005,21962,13849,170
68036,2021,2,R,전통시장,2130194,용강동 상점가,CS100001,한식음식점,8406532977.0,160848,75,26,13,15,15,15,17,16,10,1,2,17,8,54,17,68,33,0,9,23,28,25,15,6259427490.0,2147105487.0,1085439789.0,1225405661.0,1273914344.0,1279842634.0,1394825062.0,1300890890.0,846214597.0,61030556,179570970.0,1435200318.0,702202870.0,4567705045.0,1460823218,3791381254.0,1825361706.0,6357126,523999366,1277868237.0,1573398798.0,1385510291.0,849609145.0,120866,39982,22497,24055,24621,23426,26267,23809,16173,2609,11766,43171,17547,66187,19568,84079,47922,394,23586,31242,31638,26976,18158,165
