TRDAR_SE_C,TRDAR_CD,SIGNGU_CD,ADSTRD_CD,STDR_YM_CD
R,1001453,11620,11620585,201810
R,1001454,11620,11620595,201810
R,1001474,11680,11680650,201810
R,1001475,11680,11680670,201810
R,1001412,11500,11500590,201810
R,1001413,11500,11500593,201810
R,1001414,11500,11500611,201810
R,1001452,11620,11620575,201810
R,1001415,11500,11500630,201810
R,1001416,11500,11500640,201810
R,1001423,11545,11545610,201810
R,1001424,11545,11545630,201810
R,1001425,11545,11545630,201810
R,1001426,11545,11545670,201810
R,1001427,11545,11545670,201810
R,1001428,11545,11545690,201810
R,1001429,11545,11545710,201810
R,1001470,11680,11680510,201810
R,1001372,11380,11380580,201810
R,1001373,11380,11380590,201810
R,1001374,11380,11380600,201810
R,1001480,11710,11710650,201810
R,1001440,11590,11590510,201810
R,1001441,11590,11590510,201810
R,1001442,11590,11590520,201810
R,1001443,11590,11590530,201810
R,1001444,11590,11590530,201810
R,1001445,11590,11590540,201810
R,1001446,11590,11590550,201810
R,1001375,11380,11380640,201810
R,1001376,11380,11380650,201810
R,1001460,11620,11620685,201810
R,1001461,11620,11620685,201810
R,1001462,11620,11620725,201810
R,1001463,11620,11620725,201810
R,1001464,11620,11620745,201810
R,1001465,11620,11620745,201810
R,1001466,11620,11620765,201810
R,1001467,11620,11620775,201810
R,1001437,11560,11560680,201810
R,1001438,11560,11560700,201810
R,1001439,11560,11560710,201810
R,1001417,11530,11530550,201810
R,1001418,11530,11530550,201810
R,1001419,11530,11530595,201810
R,1001420,11530,11530730,201810
R,1001421,11530,11530750,201810
R,1001422,11530,11530770,201810
R,1001476,11710,11710510,201810
R,1001477,11710,11710550,201810
R,1001478,11710,11710562,201810
R,1001479,11710,11710600,201810
R,1001396,11470,11470540,201810
R,1001397,11470,11470560,201810
R,1001398,11470,11470560,201810
R,1001447,11590,11590560,201810
R,1001448,11590,11590605,201810
R,1001449,11590,11590630,201810
R,1001451,11590,11590650,201810
R,1001468,11650,11650590,201810
R,1001469,11650,11650651,201810
R,1001407,11500,11500520,201810
R,1001408,11500,11500535,201810
U,1001494,11110,11110615,201810
R,1001450,11590,11590650,201810
U,1001495,11710,11710566,201810
U,1001496,11680,11680580,201810
U,1001491,11170,11170650,201810
U,1001492,11140,11140520,201810
U,1001493,11140,11140590,201810
A,1000334,11305,11305660,201810
A,1000354,11320,11320513,201810
A,1000355,11320,11320700,201810
A,1000356,11320,11320700,201810
A,1000357,11320,11320690,201810
A,1000358,11320,11320690,201810
A,1000364,11320,11320522,201810
A,1000365,11320,11320521,201810
A,1000366,11320,11320521,201810
A,1000367,11320,11320521,201810
A,1000368,11320,11320521,201810
A,1000039,11140,11140550,201810
A,1000040,11140,11140605,201810
A,1000662,11545,11545700,201810
A,1000835,11620,11620545,201810
A,1000836,11620,11620575,201810
A,1000527,11470,11470520,201810
A,1000528,11470,11470530,201810
A,1000288,11290,11290725,201810
A,1000315,11305,11305630,201810
A,1000316,11305,11305620,201810
A,1000106,11200,11200670,201810
A,1000107,11200,11200650,201810
A,1000108,11200,11200690,201810
A,1000522,11470,11470650,201810
A,1000523,11470,11470540,201810
A,1000524,11470,11470520,201810
A,1000525,11470,11470540,201810
A,1000753,11590,11590640,201810
A,1000842,11620,11620745,201810
A,1000843,11620,11620595,201810
A,1000658,11545,11545710,201810
A,1000659,11545,11545510,201810
A,1000660,11545,11545630,201810
A,1000661,11545,11545700,201810
A,1000171,11230,11230560,201810
A,1000172,11230,11230610,201810
A,1000173,11230,11230610,201810
A,1000174,11230,11230660,201810
A,1000197,11230,11230660,201810
A,1000198,11230,11230650,201810
A,1000199,11230,11230660,201810
A,1000200,11230,11230660,201810
A,1000150,11215,11215760,201810
A,1000151,11215,11215820,201810
A,1000770,11590,11590680,201810
A,1000771,11590,11590680,201810
A,1000772,11590,11590680,201810
A,1000773,11590,11590660,201810
A,1000633,11530,11530530,201810
A,1000872,11650,11650610,201810
A,1000873,11650,11650510,201810
A,1000176,11230,11230650,201810
A,1000177,11230,11230660,201810
A,1000178,11230,11230650,201810
A,1000179,11230,11230730,201810
A,1000180,11230,11230730,201810
A,1000181,11230,11230720,201810
A,1000183,11230,11230536,201810
A,1000184,11230,11230570,201810
A,1000185,11230,11230660,201810
A,1000186,11230,11230600,201810
A,1000187,11230,11230560,201810
A,1000188,11230,11230560,201810
A,1000347,11305,11305590,201810
A,1000222,11260,11260565,201810
A,1000223,11260,11260565,201810
A,1000224,11260,11260565,201810
A,1000329,11305,11305555,201810
A,1000232,11260,11260600,201810
A,1000233,11260,11260610,201810
A,1000234,11260,11260610,201810
A,1000634,11530,11530560,201810
A,1000635,11530,11530560,201810
A,1000119,11200,11200520,201810
A,1000120,11200,11200660,201810
A,1000121,11200,11200790,201810
A,1000122,11200,11200790,201810
A,1000123,11200,11200615,201810
A,1000182,11230,11230536,201810
A,1000341,11305,11305545,201810
A,1000226,11260,11260620,201810
A,1000227,11260,11260540,201810
A,1000248,11260,11260565,201810
A,1000249,11260,11260590,201810
A,1000251,11260,11260610,201810
A,1000252,11260,11260680,201810
A,1000253,11260,11260570,201810
A,1000254,11260,11260570,201810
A,1000255,11260,11260580,201810
A,1000363,11320,11320522,201810
A,1000235,11260,11260600,201810
A,1000236,11260,11260630,201810
A,1000237,11260,11260630,201810
A,1000654,11545,11545610,201810
A,1000655,11545,11545510,201810
A,1000656,11545,11545670,201810
A,1000657,11545,11545610,201810
A,1000124,11200,11200540,201810
A,1000077,11170,11170530,201810
A,1000078,11170,11170625,201810
A,1000102,11200,11200550,201810
A,1000103,11200,11200660,201810
A,1000104,11200,11200660,201810
A,1000105,11200,11200660,201810
A,1000250,11260,11260600,201810
A,1000936,11680,11680531,201810
A,1000609,11530,11530760,201810
A,1000610,11530,11530750,201810
A,1000505,11440,11440590,201810
A,1000506,11440,11440565,201810
A,1000974,11740,11740540,201810
A,1000739,11590,11590620,201810
A,1000740,11590,11590630,201810
A,1000741,11590,11590630,201810
A,1000742,11590,11590630,201810
A,1000743,11590,11590620,201810
A,1000744,11590,11590660,201810
A,1000844,11650,11650651,201810
A,1000712,11560,11560610,201810
A,1000511,11470,11470560,201810
A,1000512,11470,11470600,201810
A,1000513,11470,11470580,201810
A,1000514,11470,11470580,201810
A,1000515,11470,11470611,201810
A,1000516,11470,11470610,201810
A,1000922,11680,11680630,201810
A,1000923,11680,11680630,201810
A,1000924,11680,11680531,201810
A,1000925,11680,11680565,201810
A,1000926,11680,11680531,201810
A,1000927,11680,11680565,201810
A,1000597,11500,11500510,201810
A,1000799,11620,11620585,201810
A,1000471,11440,11440555,201810
A,1000472,11440,11440565,201810
A,1001006,11740,11740685,201810
A,1001007,11740,11740520,201810
A,1001008,11740,11740650,201810
A,1001009,11740,11740650,201810
A,1001010,11740,11740650,201810
A,1000787,11620,11620605,201810
A,1000543,11470,11470620,201810
A,1000564,11500,11500540,201810
A,1000565,11500,11500550,201810
A,1000566,11500,11500593,201810
A,1000567,11500,11500640,201810
A,1000568,11500,11500640,201810
A,1000569,11500,11500593,201810
A,1000730,11560,11560630,201810
A,1000794,11620,11620715,201810
A,1000795,11620,11620765,201810
A,1000796,11620,11620685,201810
A,1000797,11620,11620685,201810
A,1000798,11620,11620765,201810
