,dong,food,func,set,data
0,0.0,0.0,4.0,0.0,60.3
1,0.0,0.0,4.0,1.0,39.7
2,0.0,1.0,4.0,0.0,59.6
3,0.0,1.0,4.0,1.0,40.4
4,0.0,2.0,4.0,0.0,69.4
5,0.0,2.0,4.0,1.0,30.6
6,0.0,3.0,4.0,0.0,58.5
7,0.0,3.0,4.0,1.0,41.5
8,0.0,4.0,4.0,0.0,46.2
9,0.0,4.0,4.0,1.0,53.8
10,0.0,5.0,4.0,0.0,52.6
11,0.0,5.0,4.0,1.0,47.4
12,0.0,6.0,4.0,0.0,60.8
13,0.0,6.0,4.0,1.0,39.2
14,0.0,7.0,4.0,0.0,55.9
15,0.0,7.0,4.0,1.0,44.1
16,0.0,8.0,4.0,0.0,73.5
17,0.0,8.0,4.0,1.0,26.5
18,0.0,9.0,4.0,0.0,48.2
19,0.0,9.0,4.0,1.0,51.8
0,0.0,0.0,32.0,0.0,67830.0
1,0.0,0.0,32.0,1.0,373940.0
2,0.0,0.0,32.0,2.0,8491970.0
3,0.0,0.0,32.0,3.0,2511220.0
4,0.0,0.0,32.0,4.0,10464560.0
5,0.0,0.0,32.0,5.0,3473690.0
6,0.0,1.0,32.0,0.0,1480.0
7,0.0,1.0,32.0,1.0,227430.0
8,0.0,1.0,32.0,2.0,12580280.0
9,0.0,1.0,32.0,3.0,2854110.0
10,0.0,1.0,32.0,4.0,6658060.0
11,0.0,1.0,32.0,5.0,876090.0
12,0.0,2.0,32.0,0.0,5320.0
13,0.0,2.0,32.0,1.0,12030.0
14,0.0,2.0,32.0,2.0,8867450.0
15,0.0,2.0,32.0,3.0,1953370.0
16,0.0,2.0,32.0,4.0,12875030.0
17,0.0,2.0,32.0,5.0,10072660.0
18,0.0,3.0,32.0,0.0,0.0
19,0.0,3.0,32.0,1.0,72460.0
20,0.0,3.0,32.0,2.0,24955310.0
21,0.0,3.0,32.0,3.0,6088270.0
22,0.0,3.0,32.0,4.0,19465600.0
23,0.0,3.0,32.0,5.0,1525380.0
24,0.0,4.0,32.0,0.0,1320.0
25,0.0,4.0,32.0,1.0,6072750.0
26,0.0,4.0,32.0,2.0,14551560.0
27,0.0,4.0,32.0,3.0,12759420.0
28,0.0,4.0,32.0,4.0,22152820.0
29,0.0,4.0,32.0,5.0,2818920.0
30,0.0,5.0,32.0,0.0,47700.0
31,0.0,5.0,32.0,1.0,1139360.0
32,0.0,5.0,32.0,2.0,5561010.0
33,0.0,5.0,32.0,3.0,4771140.0
34,0.0,5.0,32.0,4.0,8587450.0
35,0.0,5.0,32.0,5.0,1612520.0
36,0.0,6.0,32.0,0.0,364080.0
37,0.0,6.0,32.0,1.0,46570.0
38,0.0,6.0,32.0,2.0,243310.0
39,0.0,6.0,32.0,3.0,551220.0
40,0.0,6.0,32.0,4.0,7811630.0
41,0.0,6.0,32.0,5.0,6776590.0
42,0.0,7.0,32.0,0.0,93350.0
43,0.0,7.0,32.0,1.0,1698840.0
44,0.0,7.0,32.0,2.0,4641190.0
45,0.0,7.0,32.0,3.0,1505740.0
46,0.0,7.0,32.0,4.0,3277820.0
47,0.0,7.0,32.0,5.0,739520.0
48,0.0,8.0,32.0,0.0,812690.0
49,0.0,8.0,32.0,1.0,46820.0
50,0.0,8.0,32.0,2.0,3380450.0
51,0.0,8.0,32.0,3.0,560290.0
52,0.0,8.0,32.0,4.0,6059040.0
53,0.0,8.0,32.0,5.0,6692600.0
54,0.0,9.0,32.0,0.0,12890.0
55,0.0,9.0,32.0,1.0,3691390.0
56,0.0,9.0,32.0,2.0,9179870.0
57,0.0,9.0,32.0,3.0,5002610.0
58,0.0,9.0,32.0,4.0,4170110.0
59,0.0,9.0,32.0,5.0,626430.0
0,0.0,0.0,31.0,0.0,1.0
1,0.0,0.0,31.0,1.0,24.0
2,0.0,0.0,31.0,2.0,344.0
3,0.0,0.0,31.0,3.0,77.0
4,0.0,0.0,31.0,4.0,214.0
5,0.0,0.0,31.0,5.0,48.0
6,0.0,1.0,31.0,0.0,0.0
7,0.0,1.0,31.0,1.0,13.0
8,0.0,1.0,31.0,2.0,455.0
9,0.0,1.0,31.0,3.0,137.0
10,0.0,1.0,31.0,4.0,239.0
11,0.0,1.0,31.0,5.0,19.0
12,0.0,2.0,31.0,0.0,0.0
13,0.0,2.0,31.0,1.0,0.0
14,0.0,2.0,31.0,2.0,252.0
15,0.0,2.0,31.0,3.0,38.0
16,0.0,2.0,31.0,4.0,129.0
17,0.0,2.0,31.0,5.0,67.0
18,0.0,3.0,31.0,0.0,0.0
19,0.0,3.0,31.0,1.0,2.0
20,0.0,3.0,31.0,2.0,786.0
21,0.0,3.0,31.0,3.0,186.0
22,0.0,3.0,31.0,4.0,474.0
23,0.0,3.0,31.0,5.0,10.0
24,0.0,4.0,31.0,0.0,0.0
25,0.0,4.0,31.0,1.0,772.0
26,0.0,4.0,31.0,2.0,735.0
27,0.0,4.0,31.0,3.0,721.0
28,0.0,4.0,31.0,4.0,1220.0
29,0.0,4.0,31.0,5.0,207.0
30,0.0,5.0,31.0,0.0,2.0
31,0.0,5.0,31.0,1.0,75.0
32,0.0,5.0,31.0,2.0,397.0
33,0.0,5.0,31.0,3.0,327.0
34,0.0,5.0,31.0,4.0,638.0
35,0.0,5.0,31.0,5.0,115.0
36,0.0,6.0,31.0,0.0,12.0
37,0.0,6.0,31.0,1.0,0.0
38,0.0,6.0,31.0,2.0,13.0
39,0.0,6.0,31.0,3.0,28.0
40,0.0,6.0,31.0,4.0,319.0
41,0.0,6.0,31.0,5.0,219.0
42,0.0,7.0,31.0,0.0,6.0
43,0.0,7.0,31.0,1.0,275.0
44,0.0,7.0,31.0,2.0,458.0
45,0.0,7.0,31.0,3.0,157.0
46,0.0,7.0,31.0,4.0,306.0
47,0.0,7.0,31.0,5.0,34.0
48,0.0,8.0,31.0,0.0,7.0
49,0.0,8.0,31.0,1.0,1.0
50,0.0,8.0,31.0,2.0,165.0
51,0.0,8.0,31.0,3.0,21.0
52,0.0,8.0,31.0,4.0,125.0
53,0.0,8.0,31.0,5.0,108.0
54,0.0,9.0,31.0,0.0,0.0
55,0.0,9.0,31.0,1.0,770.0
56,0.0,9.0,31.0,2.0,1221.0
57,0.0,9.0,31.0,3.0,710.0
58,0.0,9.0,31.0,4.0,464.0
59,0.0,9.0,31.0,5.0,49.0
0,0.0,0.0,12.0,0.0,33529.0
1,0.0,0.0,12.0,1.0,2153186.0
2,0.0,0.0,12.0,2.0,4280642.0
3,0.0,0.0,12.0,3.0,4331078.0
4,0.0,0.0,12.0,4.0,4430663.0
5,0.0,0.0,12.0,5.0,2587782.0
6,0.0,1.0,12.0,0.0,71183.0
7,0.0,1.0,12.0,1.0,1542327.0
8,0.0,1.0,12.0,2.0,3056816.0
9,0.0,1.0,12.0,3.0,4447102.0
10,0.0,1.0,12.0,4.0,4781931.0
11,0.0,1.0,12.0,5.0,2615504.0
12,0.0,2.0,12.0,0.0,55820.0
