,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N
0,월세,220,"3,000",49,1/3,서향,37.566555,126.917098,892,18,0,50,4,1
1,월세,160,"2,000",56,4/4,남향,37.562873,126.92542,1338,13,1,251,2,0
2,월세,100,"1,000",25,B1/1,북동향,37.564777,126.923147,910,18,1,272,3,0
3,월세,160,"2,500",28,3/3,남향,37.562103,126.926197,1140,12,1,231,3,0
4,월세,190,"3,500",46,1/5,남향,37.561109,126.920106,919,30,1,158,6,0
5,월세,120,"2,000",26,1/4,북서향,37.562053,126.921427,1052,23,1,284,3,0
6,월세,180,"3,000",33,3/4,서향,37.562183,126.924832,1203,17,1,257,3,0
7,월세,180,"3,000",29,2/4,서향,37.562183,126.924832,1203,17,1,257,3,0
8,월세,90,"1,000",23,B1/4,남향,37.56554,126.923336,907,16,0,229,3,0
9,월세,350,"5,000",98,2/4,남향,37.56554,126.923336,907,16,0,229,3,0
10,월세,200,"3,000",57,3/4,동향,37.565734,126.922985,847,16,0,210,3,0
11,월세,300,"4,000",57,1/4,동향,37.565734,126.922985,847,16,0,210,3,0
12,매매,,"4억 3,000",23,1/4,남서향,37.562091,126.922368,1683,19,1,285,4,0
13,월세,80,"1,000",82,B1/3,서향,37.566555,126.917098,892,18,0,50,4,1
14,월세,150,"3,000",40,B1/5,동향,37.561615,126.922195,1155,21,1,278,5,0
15,월세,150,"3,000",40,B1/5,동향,37.561615,126.922195,1155,21,1,278,5,0
16,월세,210,"3,000",34,1/3,북서향,37.561856,126.926786,1019,12,1,206,2,0
17,월세,230,"2,700",49,3/3,북서향,37.56162,126.925672,1176,16,1,237,4,1
18,월세,200,"3,000",49,3/3,남향,37.5617,126.926563,1859,12,1,208,2,0
19,월세,220,"3,000",59,1/3,서향,37.566555,126.917098,892,18,0,50,4,1
20,월세,120,"2,000",26,1/3,서향,37.566555,126.917098,892,18,0,50,4,1
21,월세,200,"3,000",84,2/3,서향,37.566555,126.917098,892,18,0,50,4,1
22,월세,200,"3,000",34,3/3,서향,37.566555,126.917098,892,18,0,50,4,1
23,월세,380,"4,500",49,B1/3,남서향,37.56162,126.925672,1176,16,1,237,4,1
24,월세,490,"5,800",42,B1/3,남서향,37.56162,126.925672,1176,16,1,237,4,1
25,월세,230,"2,700",49,3/3,남서향,37.56162,126.925672,1176,16,1,237,4,1
26,매매,,"4억 3,000",23,1/4,남서향,37.562091,126.922368,1683,19,1,285,4,0
27,월세,110,"2,000",23,1/4,남서향,37.562091,126.922368,1683,19,1,285,4,0
28,월세,220,"3,000",60,1/3,남서향,37.566555,126.917098,892,18,0,50,4,1
29,월세,240,"3,100",52,2/3,남서향,37.56162,126.925672,1176,16,1,237,4,1
30,월세,300,"3,600",36,1/3,남서향,37.56162,126.925672,1176,16,1,237,4,1
31,월세,200,"3,000",51,3/4,북서향,37.565734,126.922985,847,16,0,210,3,0
32,월세,200,"3,000",50,2/4,북서향,37.565734,126.922985,847,16,0,210,3,0
33,월세,300,"4,000",50,1/4,북서향,37.565734,126.922985,847,16,0,210,3,0
34,월세,280,"3,000",50,B1/4,북서향,37.565734,126.922985,847,16,0,210,3,0
35,월세,240,"3,000",37,B1/3,북서향,37.561856,126.926786,1019,12,1,206,2,0
