,Unnamed: 0,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,bicycle_N,subway_N,kor_N,jap_N,west_N,ch_N,bake_N,cafe_N
0,0,월세,220,"3,000",14.8,1/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
1,1,월세,160,"2,000",16.9,4/4,남향,37.562873,126.92542,1338,13,1,2,0,29,74,98,32,41,251
2,2,월세,100,"1,000",7.6,B1/1,북동향,37.564777,126.923147,910,18,1,3,0,21,63,75,24,32,272
3,3,월세,160,"2,500",8.5,3/3,남향,37.562103,126.926197,1140,12,1,3,0,31,75,98,35,40,231
4,4,월세,190,"3,500",13.9,1/5,남향,37.561109,126.920106,919,30,1,6,0,35,44,59,26,37,158
5,5,월세,120,"2,000",7.9,1/4,북서향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
6,6,월세,180,"3,000",10.0,3/4,서향,37.562183,126.924832,1203,17,1,3,0,33,79,100,36,44,257
7,7,월세,180,"3,000",8.8,2/4,서향,37.562183,126.924832,1203,17,1,3,0,33,79,100,36,44,257
8,8,월세,90,"1,000",7.0,B1/4,남향,37.56554,126.923336,907,16,0,3,0,16,47,55,20,25,229
9,9,월세,350,"5,000",29.6,2/4,남향,37.56554,126.923336,907,16,0,3,0,16,47,55,20,25,229
10,10,월세,200,"3,000",17.2,3/4,동향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
11,11,월세,300,"4,000",17.2,1/4,동향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
12,12,매매,,"4억 3,000",7.0,1/4,남서향,37.562091,126.922368,1683,19,1,4,0,35,80,101,39,46,285
13,13,월세,80,"1,000",24.8,B1/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
14,14,월세,150,"3,000",12.1,B1/5,동향,37.561615,126.922195,1155,21,1,5,0,36,82,101,40,47,278
15,15,월세,150,"3,000",12.1,B1/5,동향,37.561615,126.922195,1155,21,1,5,0,36,82,101,40,47,278
16,16,월세,210,"3,000",10.3,1/3,북서향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
17,17,월세,230,"2,700",14.8,3/3,북서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
18,18,월세,200,"3,000",14.8,3/3,남향,37.5617,126.926563,1859,12,1,2,0,29,71,96,35,38,208
19,19,월세,220,"3,000",17.8,1/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
20,20,월세,120,"2,000",7.9,1/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
21,21,월세,200,"3,000",25.4,2/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
22,22,월세,200,"3,000",10.3,3/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
23,23,월세,380,"4,500",14.8,B1/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
24,24,월세,490,"5,800",12.7,B1/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
25,25,월세,230,"2,700",14.8,3/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
26,26,매매,,"4억 3,000",7.0,1/4,남서향,37.562091,126.922368,1683,19,1,4,0,35,80,101,39,46,285
27,27,월세,110,"2,000",7.0,1/4,남서향,37.562091,126.922368,1683,19,1,4,0,35,80,101,39,46,285
28,28,월세,220,"3,000",18.1,1/3,남서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
29,29,월세,240,"3,100",15.7,2/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
30,30,월세,300,"3,600",10.9,1/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
31,31,월세,200,"3,000",15.4,3/4,북서향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
32,32,월세,200,"3,000",15.1,2/4,북서향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
33,33,월세,300,"4,000",15.1,1/4,북서향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
34,34,월세,280,"3,000",15.1,B1/4,북서향,37.565734,126.922985,847,16,0,3,0,15,37,46,18,20,210
35,35,월세,240,"3,000",11.2,B1/3,북서향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
36,36,월세,150,"2,000",6.4,4/4,남향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
37,37,월세,220,"3,000",13.6,1/3,동향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
38,38,월세,190,"1,500",11.2,B1/3,북향,37.560946,126.924556,1600,21,1,5,1,39,79,101,43,46,237
39,39,월세,140,"1,500",10.3,2/3,남향,37.561976,126.926352,1378,12,1,3,0,30,73,98,35,40,228
40,40,월세,350,"3,000",18.5,B1/3,남서향,37.562278,126.925378,1153,12,1,3,0,32,78,100,36,44,250
41,41,월세,170,"4,000",15.1,2/2,남동향,37.559379,126.918473,1225,33,1,5,0,24,24,17,23,21,57
42,42,월세,350,"3,000",18.5,B1/3,남향,37.562278,126.925378,1153,12,1,3,0,32,78,100,36,44,250
43,43,월세,120,"2,000",6.0,1/5,,37.563944,126.92455,943,15,1,3,0,28,71,90,29,37,266
44,44,월세,190,"2,000",17.2,2/4,북서향,37.562115,126.925721,1159,13,1,3,0,32,77,101,36,43,244
45,45,월세,125,"2,500",9.1,1/3,남향,37.565398,126.917105,870,27,0,5,1,4,5,10,2,12,71
46,46,월세,130,"2,000",13.9,4/4,북동향,37.562257,126.925545,1153,12,1,3,0,32,77,100,35,43,248
47,47,월세,140,"3,000",15.4,1/2,남서향,37.565271,126.924641,910,15,1,3,0,19,55,71,23,27,248
48,48,월세,120,"2,000",11.8,1/4,북동향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
49,49,월세,130,"2,000",5.7,1/5,북동향,37.560631,126.920559,953,33,1,7,0,37,56,68,33,37,155
50,50,월세,310,"3,000",20.0,1/3,남향,37.56207,126.925007,1140,15,1,3,0,33,79,101,36,44,251
51,51,월세,150,"1,500",10.0,1/3,남서향,37.561264,126.920281,902,29,1,5,0,34,50,66,27,36,179
52,52,월세,300,"4,500",33.0,2/4,서향,37.564227,126.922549,975,18,1,3,0,24,65,82,26,34,283
53,53,월세,140,"2,000",7.9,B1/2,북향,37.563097,126.925815,1344,12,1,2,0,27,71,96,31,39,243
54,54,월세,210,"2,500",14.8,2/2,동향,37.566297,126.920844,906,15,0,3,0,2,11,17,2,15,135
55,55,월세,260,"3,000",20.0,2/4,북동향,37.562836,126.925819,1344,12,1,2,0,27,71,98,31,39,245
56,56,월세,400,"5,000",19.4,2/2,동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
57,57,월세,380,"4,500",13.0,B1/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
58,58,월세,170,"2,000",10.6,B1/3,북동향,37.562528,126.924938,1161,15,1,3,0,33,78,100,36,43,258
59,59,월세,150,"2,000",6.4,4/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
60,60,월세,200,"2,400",8.5,3/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
61,61,월세,270,"3,240",8.2,2/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
62,62,월세,280,"3,000",22.1,1/4,서향,37.563725,126.92614,1399,12,1,2,0,24,68,84,28,34,237
63,63,월세,350,"5,000",22.7,1/3,서향,37.561711,126.924139,1797,20,1,4,0,34,79,103,39,44,260
64,64,월세,350,"5,000",22.7,1/3,남동향,37.561711,126.924139,1797,20,1,4,0,34,79,103,39,44,260
65,65,월세,150,"1,000",8.2,1/3,동향,37.561264,126.920281,902,29,1,5,0,34,50,66,27,36,179
66,66,월세,570,"6,840",23.3,2/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
67,67,월세,250,"4,000",16.6,B1/3,동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
68,68,월세,210,"3,000",9.1,B1/2,남서향,37.561905,126.924974,1140,17,1,3,0,33,78,101,37,44,249
69,69,월세,210,"2,000",15.1,1/6,서향,37.563267,126.926217,1444,12,1,2,0,27,69,90,31,34,240
70,70,월세,170,"2,000",16.0,B1/2,북향,37.560927,126.924949,1600,18,1,5,1,37,76,99,43,46,224
71,71,월세,350,"3,000",49.3,4/4,서향,37.563286,126.925673,1550,13,1,2,0,27,71,93,31,38,243
72,72,월세,180,"1,500",14.8,1/2,남향,37.561586,126.91812,2303,29,0,5,0,8,14,11,10,19,83
73,73,월세,350,"5,000",22.7,1/3,동향,37.561711,126.924139,1797,20,1,4,0,34,79,103,39,44,260
74,74,월세,360,"5,000",23.6,B1/4,북향,37.560691,126.924788,1448,20,2,5,1,41,75,95,47,46,219
75,75,월세,230,"3,000",16.9,2/4,서향,37.561559,126.925483,1285,17,1,4,1,32,79,100,38,45,239
76,76,월세,230,"3,000",11.2,1/3,북서향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
77,77,월세,160,"2,000",7.0,4/4,북동향,37.562873,126.92542,1338,13,1,2,0,29,74,98,32,41,251
78,78,월세,250,"3,000",16.6,1/4,북동향,37.562922,126.925313,1319,14,1,2,0,30,74,98,32,42,253
79,79,월세,350,"4,000",24.2,2/3,남동향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
