,name,latitude,longitude,address
0,치플레,37.5628328,126.9256376,서울 마포구 동교로 262-9 1층
1,어글리베이커리,37.5550335,126.9060383,서울 마포구 월드컵로13길 73 1층 어글리 베이커리
2,코코로카라,37.5598025,126.9209445,서울 마포구 연남로1길 41
3,투떰즈업,37.5543521,126.9071867,서울 마포구 월드컵로19길 71
4,서울페이스트리 연남점,37.5628927,126.9241883,서울 마포구 동교로41길 10
5,아오이토리,37.5547510,126.9294621,서울 마포구 와우산로29길 8 K.C빌딩
6,달밍,37.5569944,126.9077576,서울 마포구 월드컵로23길 20 2층 202호
7,비파티세리 공덕점,37.5487011,126.9551043,서울 마포구 마포대로14길 4 1층
8,푸하하크림빵,37.5589384,126.9244228,서울 마포구 양화로19길 22-25 1층
9,씨스터브레드,37.5635654,126.9272444,서울 마포구 동교로52길 20-4 지층 102호
10,리치몬드 과자점 성산본점,37.5613259,126.9156754,서울 마포구 월드컵북로 86
11,플러피 베이크샵,37.5451725,126.9497848,서울 마포구 백범로31길 8 2동 상가 1층 106호
12,꽈페 홍대점,37.5549249,126.9224786,서울 마포구 홍익로6길 8 1층
13,밀로밀,37.5528994,126.9045357,서울 마포구 희우정로10길 9 1층
14,버터베이커리,37.5600083,126.9239991,서울 마포구 동교로 226
15,리틀빅토리,37.5607907,126.9257095,서울 마포구 연희로1길 41
16,프랑제리 피어 신촌점,37.5500842,126.9318339,서울 마포구 서강로 75-16 이랜드 PEER 신촌 로비층
17,베어스덴베이커리,37.5593314,126.9256061,서울 마포구 양화로23길 10-9 1층 베어스덴베이커리
18,79파운야드 망원본점,37.5549512,126.9057735,서울 마포구 월드컵로13길 79 1층 105호 FOUNYARD
19,츄이구이브레드,37.5459349,126.9150556,서울 마포구 토정로3안길 18 2층
20,블랑제리코팡,37.5548816,126.9005460,서울 마포구 희우정로 115
21,이몸이만든빵,37.5499472,126.9121599,서울 마포구 월드컵로1길 14 상가동 b114-2호
22,어썸도넛서울,37.5476934,126.9177010,"서울 마포구 독막로6길 5 1층, 어썸도넛서울"
23,꿀넹쿠키 연남점,37.5628144,126.9245343,서울 마포구 동교로 255-1 1층
24,파네트,37.5488291,126.9531978,서울 마포구 마포대로11길 17
25,빵집엔카페 뺑스톡 공덕점,37.5449854,126.9493556,서울 마포구 백범로31길 8 201동 113호
26,베리빈,37.5570972,126.9014734,서울 마포구 망원로3길 7 베리빈베이커리
27,타쿠미야,37.5449313,126.9479246,서울 마포구 백범로 152
28,쿠리노키제빵,37.5541601,126.9137029,서울 마포구 동교로12안길 23 1층 쿠리노키 제빵
29,너구리베이글 합정점,37.5489274,126.9170167,서울 마포구 양화로6길 49
30,상수동 카스티야,37.5481694,126.9221700,서울 마포구 와우산로 39-21
31,모뎐,37.5578486,126.9172982,서울 마포구 동교로19길 52-7 1층
32,프렌떼,37.5394441,126.9538101,서울 마포구 새창로 52 현대아파트상가 1층
33,하비비쿠키 망원점,37.5619469,126.9040075,서울 마포구 방울내로11길 26 1층
34,부부커피,37.5546451,126.8991331,서울 마포구 희우정로21길 21 1층
35,라바즈,37.5549920,126.9094107,서울 마포구 월드컵로13길 19-23 2층 왼쪽 202호
36,지구제과,37.5655230,126.9221634,서울 마포구 성미산로29길 30-3 1층 3호 지구제과
37,웅파이,37.5542692,126.9025004,서울 마포구 망원로2길 62 1층 2호
38,김진환 제과점,37.5548424,126.9324894,서울 마포구 와우산로32길 41
39,에뚜왈,37.5642353,126.9246675,서울 마포구 성미산로 170 1층 에뚜왈
40,마가렛리버,37.5485146,126.9177361,서울 마포구 양화로6길 66
41,정항우케익 서울연남점,37.5625045,126.9227591,서울 마포구 동교로29길 48 1층 정항우케익 연남점
42,수더분,37.5454017,126.9467480,서울 마포구 백범로 152
43,Miseum,37.5778364,126.8967633,서울 마포구 성암로 205
44,빵나무,37.5575690,126.9213069,서울 마포구 월드컵북로4길 30
45,일쩜오플로어,37.5608532,126.9255965,서울 마포구 동교로34길 21
46,마로스쿠키,37.5482762,126.9188718,서울 마포구 양화로6길 86 1층
47,벨라쿠키 연남,37.5618743,126.9244989,서울 마포구 동교로 246 1층
48,포포브레드,37.5545631,126.9171367,서울 마포구 동교로18길 13 세원빌딩 1층
49,모리노팡,37.5615426,126.9208136,서울 마포구 연남로3길 22-16 101호
50,과자방,37.5444336,126.9409943,서울 마포구 큰우물로 16 1층 과자방
51,기프티드,37.5641028,126.9232583,서울 마포구 성미산로 150 1층 기프티드
