,name,latitude,longitude,address
0,카멜로연남,37.5613559,126.9263771,서울 마포구 연희로1길 57 1.5층
1,초이 다이닝,37.5612968,126.9245787,서울 마포구 동교로36길 3 지하1층
2,멕시코식당,37.5475044,126.9145776,서울 마포구 독막로2길 23
3,뉴오더클럽 연남,37.5610437,126.9245375,서울 마포구 동교로34길 3
4,갓잇 연남점,37.5652607,126.9236477,서울 마포구 성미산로 161-13 1층
5,제스티살룬 연남,37.5616611,126.9267907,서울 마포구 연희로 31 연남빌딩 지층
6,로쏘 1924 나폴리 화덕피자 홍대점,37.5546783,126.9218230,서울 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자
7,소금집델리 망원,37.5567813,126.9082522,서울 마포구 월드컵로19길 14 2층
8,어반플랜트 합정,37.5478939,126.9171877,서울 마포구 독막로4길 3
9,잼잼,37.5650569,126.9223734,서울 마포구 성미산로29길 24 지하 1층
10,헤이죠지,37.5617009,126.9265968,서울 마포구 동교로46길 42-24 1층 헤이죠지
11,프리모바치오바치 홍대본점,37.5547881,126.9236742,서울 마포구 와우산로23길 44
12,랫댓,37.5619280,126.9241833,서울 마포구 동교로 243-4 2층
13,스케줄합정,37.5490726,126.9160549,서울 마포구 양화로6길 33 1층
14,광야,37.5593406,126.9230772,서울 마포구 월드컵북로4길 82 1층 광야
15,오마,37.5628541,126.9254255,서울 마포구 동교로 262-6 2층 레스토랑 오마
16,아우룸,37.5505122,126.9107148,서울 마포구 월드컵로5길 33-26
17,아이엠베이글 공덕점,37.5446403,126.9482462,서울 마포구 백범로 152 101동 1층
18,파델라,37.5606916,126.9223945,서울 마포구 연남로1길 11 1층
19,문,37.5623158,126.9259172,서울 마포구 동교로46길 21
20,아노브 연남,37.5636305,126.9254114,서울 마포구 동교로 267 2층
21,홍대IN파스타,37.5534346,126.9211476,서울 마포구 홍익로5안길 32 준빌라
22,스테이크 슈퍼,37.5504370,126.9203957,서울 마포구 독막로7길 62 1층 스테이크 슈퍼 홍대점
23,니꾸킹버거,37.5609684,126.9252934,서울 마포구 동교로34길 17 니꾸킹버거
24,감성타코 홍대점,37.5528115,126.9227273,서울 마포구 와우산로21길 20-11 2층
25,브런치가,37.5580961,126.9214465,서울 마포구 월드컵북로4길 39 1층
26,OBPC 연남본점,37.5600563,126.9246864,서울 마포구 양화로23길 40 1층
27,멕시칸식당 베르데,37.5628468,126.9254079,서울 마포구 동교로 262-6 1층
28,탑클라우드23,37.5433685,126.9514342,서울 마포구 백범로 192 에쓰오일빌딩 23층
