name,latitude,longitude,address
치플레,37.5628328,126.9256376,서울 마포구 동교로 262-9 1층
잼잼,37.5650569,126.9223734,서울 마포구 성미산로29길 24 지하 1층
코코로카라,37.5598025,126.9209445,서울 마포구 연남로1길 41
어니스트팬케이크,37.5623714,126.9249113,서울 마포구 동교로38안길 13 1층
비아톨레도 에스프레소바,37.5651649,126.9242791,서울 마포구 동교로51안길 19 1층
땡스오트 연남,37.5662885,126.9199078,서울 마포구 성미산로23길 68
랜디스도넛 연남점,37.5620628,126.9242188,서울 마포구 동교로 247
카페레이어드 연남점,37.5649954,126.9242086,서울 마포구 성미산로 161-4
서울페이스트리 연남점,37.5628927,126.9241883,서울 마포구 동교로41길 10
딩가케이크,37.5634062,126.9221019,서울 마포구 동교로29길 68
작당모의,37.5606034,126.9253540,서울 마포구 동교로32길 19 1층
마가렛 연남,37.5645929,126.9228116,서울 마포구 성미산로29길 10 1층
연남살롱,37.5626381,126.9205159,서울 마포구 성미산로 122-1 1층
카페스콘,37.5640934,126.9247937,서울 마포구 성미산로 172 2층 카페스콘
꽈페 연남본점,37.5622098,126.9257354,서울 마포구 동교로46길 20 1층
파롤앤랑그,37.5650000,126.9228600,서울 마포구 성미산로29안길 8 파롤앤랑그
씨스루 홍대연남점,37.5631148,126.9255946,서울 마포구 동교로 266-6 1층
궤도 연남,37.5613631,126.9224176,서울 마포구 연남로 19 1층 대로변
17도씨,37.5621487,126.9230817,서울 마포구 동교로29길 38
바나나하루키,37.5616290,126.9246977,서울 마포구 동교로38길 6 3층 바나나하루키
펠른,37.5620528,126.9209704,서울 마포구 성미산로22길 18 A'동 1층 펠른
맥코이 연남,37.5641512,126.9227488,서울 마포구 성미산로 147
더파이샵,37.5649025,126.9242773,서울 마포구 성미산로 163 1층
카페클로이인패리스,37.5627254,126.9261857,서울 마포구 성미산로 190-3 1.5층
테일러커피 연남 1호점,37.5631113,126.9263399,서울 마포구 성미산로 189 1층
아우프글렛 연남점,37.5645114,126.9253766,서울 마포구 성미산로31길 11 AUFGLET
씨스터브레드,37.5635654,126.9272444,서울 마포구 동교로52길 20-4 지층 102호
티크닉,37.5642001,126.9228031,서울 마포구 성미산로 147
스트로베리32 연남점,37.5625769,126.9212636,서울 마포구 연남로5길 6-6 1층
에브리데이해피벌스데이,37.5618402,126.9269533,서울 마포구 연희로 33 3층 EHBD
청수당공명,37.5642517,126.9233675,서울 마포구 성미산로 152 청수당공명
테누커피,37.5656367,126.9233639,
표정,37.5626931,126.9255911,서울 마포구 동교로 262-10 1층
