,name,latitude,longitude,address
0,우동 카덴,37.5517080,126.9150120,서울 마포구 양화로7안길 2-1
1,오레노라멘 본점,37.5474778,126.9173149,서울 마포구 독막로6길 14
2,교다이야,37.5469203,126.9131995,서울 마포구 성지길 39 합정빌딩 1층
3,우와,37.5517143,126.9222234,서울 마포구 와우산로21길 21-16 2층
4,소바식당,37.5551292,126.9101674,서울 마포구 동교로9길 28
5,연하동,37.5605090,126.9235456,서울 마포구 연남로 6
6,미쁘동,37.5621119,126.9262048,서울 마포구 동교로38길 33-21 2층
7,소점,37.5658736,126.9170860,서울 마포구 성미산로17길 99
8,이치젠,37.5566766,126.9045365,서울 마포구 포은로 109
9,망원동즉석우동 본점,37.5542501,126.9111365,서울 마포구 동교로 83
10,칸다소바,37.5492716,126.9227124,서울 마포구 와우산로 51-6
11,이요이요스시 공덕1호점,37.5501884,126.9528116,서울 마포구 마포대로 167
12,크레이지카츠,37.5504385,126.9097576,"서울 마포구 포은로2나길 44 , 2층"
13,스시지현,37.5606756,126.9236457,서울 마포구 동교로 227-7 1층 스시지현
14,최강금돈까스,37.5499263,126.9109319,서울 마포구 월드컵로3길 31-30
15,가미우동,37.5546521,126.9239060,서울 마포구 홍익로2길 23
16,벚꽃스시,37.5552787,126.9083386,서울 마포구 월드컵로15길 37 1층 벚꽃스시
17,코노미,37.5522111,126.9206285,서울 마포구 잔다리로6길 28
18,단디 연남점,37.5633606,126.9252750,서울 마포구 동교로 265 1층
19,오롯,37.5458181,126.9453214,서울 마포구 백범로24길 5-5
20,요코쵸,37.5653506,126.9235037,서울 마포구 성미산로 161-15 1층
21,연어롭다,37.5610646,126.9257493,서울 마포구 동교로38길 42
22,야키토리 미식서울,37.5631920,126.9265198,서울 마포구 성미산로 189-5 201호
23,구운,37.5567004,126.9045320,서울 마포구 포은로 109 102호
24,야키토리 나루토,37.5493583,126.9202303,서울 마포구 독막로9길 26
25,유메 홍대본점,37.5492190,126.9162437,서울 마포구 양화로8길 32-5 1층
26,잇텐고,37.5492729,126.9092365,서울 마포구 포은로 11
27,시오,37.5472597,126.9143486,서울 마포구 독막로2길 30 1층  ※예약불가합니다
28,고쿠텐 홍대점,37.5574471,126.9211928,서울 마포구 월드컵북로4길 26 1층
29,부탄츄 홍대본점,37.5564319,126.9267129,서울 마포구 와우산로35길 75 1층 부탄츄
30,카쿠시타,37.5618618,126.9261811,서울 마포구 동교로38길 33-15
31,사쿠라테이엔 합정점,37.5491508,126.9191427,서울 마포구 독막로7길 27 1층
32,카와카츠,37.5547362,126.9161059,서울 마포구 동교로 126 1층 102호
33,락희돈,37.5583064,126.9246777,서울 마포구 월드컵북로2길 86
34,하카타분코,37.5489357,126.9237639,서울 마포구 독막로19길 43
35,스아게,37.5554162,126.9273900,서울 마포구 와우산로29라길 7 1층
36,야키토리 묵,37.5646645,126.9245863,서울 마포구 성미산로 165-1 1층 우측
37,온미동 연남,37.5599645,126.9234120,서울 마포구 월드컵북로4길 95 단독주택
38,헤키,37.5557156,126.9079189,서울 마포구 월드컵로17길 38 1층
39,소코아 홍대점,37.5486254,126.9208781,서울 마포구 와우산로15길 49 1층 소코아 홍대점
40,566라멘,37.5605734,126.9208709,서울 마포구 연남로3길 33
41,희희,37.5451082,126.9457908,서울 마포구 독막로 291-5
42,츠키젠,37.5468048,126.9180064,서울 마포구 독막로8길 23 1층
43,김영섭초밥,37.5776686,126.8933096,서울 마포구 월드컵북로 352-18
44,사루카메,37.5610641,126.9227332,서울 마포구 연남로 15 1층
45,이리에라멘,37.5481204,126.9144052,서울 마포구 성지1길 18 1층
46,라무라,37.5497943,126.9086065,서울 마포구 포은로 21 1층 라무라
47,저스트텐동 연남본점,37.5628136,126.9252032,서울 마포구 동교로46길 3
48,혼가츠,37.5526649,126.9220529,서울 마포구 와우산로21길 36-6 1층 102호
49,카페 나하,37.5545496,126.9037796,서울 마포구 희우정로16길 32 2층
50,우동가조쿠,37.5582986,126.9240342,서울 마포구 양화로19길 18 화성빌딩 1층
51,마시타야,37.5547962,126.9266263,서울 마포구 와우산로29라길 26
52,기요한,37.5541206,126.9123648,서울 마포구 동교로12길 3 1층기요한
53,온정,37.5626644,126.9255744,서울 마포구 동교로 262-10 1층 좌측
54,츠케루,37.5533814,126.9245307,서울 마포구 와우산로23길 9 1층 102호
55,오모테나시 오마카세,37.5582235,126.9246010,서울 마포구 월드컵북로2길 82
56,닝교초식당 홍대점,37.5558958,126.9239859,서울 마포구 어울마당로 127 2/3층
57,유부,37.5642049,126.9262813,서울 마포구 동교로 277 1층
58,동차밥,37.5614404,126.9263623,서울 마포구 연희로1길 57 3층
59,간코 합정본점,37.5496393,126.9114854,서울 마포구 양화로3길 15 1층
60,오비야,37.5554956,126.9243683,서울 마포구 홍익로2길 27-20
61,스시오 블랙컨테이너,37.5536897,126.9225274,서울 마포구 어울마당로 100-6 1층
62,킨지 연남점,37.5607855,126.9235044,서울 마포구 동교로 227-11 2층
63,담택,37.5532216,126.9141373,서울 마포구 월드컵로8길 34 1층
64,마루심 마포점,37.5395446,126.9434392,서울 마포구 토정로 316 성진빌딩
65,정돈 홍대점,37.5490684,126.9209635,서울 마포구 어울마당로 46
66,키움초밥,37.5543322,126.9160300,서울 마포구 잔다리로 77 대창빌딩
67,코테츠,37.5497779,126.9177329,서울 마포구 독막로3길 28-17 1층 102호
68,기노,37.5386127,126.9479771,서울 마포구 삼개로3길 6-1 1층
69,키친숲,37.5624296,126.9251631,서울 마포구 동교로 256-10 1층 키친숲
70,하카타나카,37.5550450,126.9236732,서울 마포구 와우산로23길 50 2F
71,멘지,37.5548972,126.9103679,서울 마포구 월드컵로11길 8 103호
72,쿄 라멘,37.5622875,126.9261473,"서울 마포구 동교로46길 25 지층 쿄, 라멘"
73,정무관,37.5491931,126.9169343,서울 마포구 독막로3길 20
74,합정공감,37.5489273,126.9170167,서울 마포구 양화로6길 49 2F
75,사심스키야키 연남직영점,37.5628378,126.9260606,서울 마포구 성미산로 190-4 지하
76,비스트로큐슈,37.5541836,126.9299735,서울 마포구 와우산로30길 13 102호
77,긴자료코 본점,37.5554210,126.9245816,서울 마포구 홍익로2길 43
78,라멘트럭,37.5474948,126.9225997,서울 마포구 독막로14길 31 1층 라멘트럭
79,멘야하나비 합정점,37.5524813,126.9168456,서울 마포구 잔다리로7안길 14 1층
80,쿠츠 : 고이짱,37.5464503,126.9420234,서울 마포구 백범로16길 25 1층 쿠츠
81,카와카츠 합정점,37.5514967,126.9174227,서울 마포구 양화로 78-7 1층 카와카츠
82,멘야준,37.5549263,126.9164357,서울 마포구 동교로 128
83,지하102호,37.5494159,126.9180180,서울 마포구 양화로6길 57-22
84,이츠모라멘,37.5540003,126.9246230,서울 마포구 와우산로23길 18-7 2층 202호
85,카레시,37.5496949,126.9201639,서울 마포구 독막로9길 31 1층
86,모이정,37.5625924,126.9204194,서울 마포구 성미산로 122 1층
87,우와 연남점,37.5652199,126.9237003,서울 마포구 성미산로 161-11 2층
88,에도마에텐동하마다 홍대점,37.5544046,126.9218530,서울 마포구 홍익로 25
89,경양카츠 연남점,37.5612032,126.9244277,서울 마포구 동교로 238-1
90,토라슌,37.5557258,126.9264730,서울 마포구 와우산로29마길 10-4 1층
91,스시소라 마포점,37.5413366,126.9489910,
92,멘카야,37.5469149,126.9547696,서울 마포구 마포대로10길 20
93,심야식당 하스,37.5599065,126.9254426,서울 마포구 연희로1길 19
94,하쿠텐라멘,37.5628312,126.9258551,서울 마포구 동교로 266-12 반지하 왼쪽문
95,야키토리도토리,37.5561698,126.9092130,서울 마포구 동교로9길 56
96,히츠지야,37.5493100,126.9168363,서울 마포구 독막로3길 21 1층 히츠지야
97,거북이의 꿈,37.5625590,126.9258206,서울 마포구 성미산로 190-31 지1층
98,바삭마차,37.5553289,126.9065291,서울 마포구 월드컵로13길 64 바삭마차
99,카타코토카페,37.5551614,126.9186024,서울 마포구 동교로 148-6
100,함루,37.5443704,126.9487580,서울 마포구 백범로 170
101,스미비부타동,37.5493460,126.9222341,서울 마포구 와우산로13길 19
102,노라,37.5657510,126.9218805,서울 마포구 성미산로29길 42 1층
103,세상끝의라멘,37.5516979,126.9151979,서울 마포구 양화로7길 6-5
104,오마카세 오사이초밥 홍대점,37.5596488,126.9257858,서울 마포구 연희로1길 11 2층
105,오복수산 연남점,37.5628378,126.9260606,서울 마포구 성미산로 190-4 2층
106,에그써티,37.5606490,126.9253789,서울 마포구 동교로32길 19 202호
107,모츠모츠,37.5609054,126.9213736,서울 마포구 연남로3길 23 1층
108,참치가,37.5525228,126.9189801,서울 마포구 양화로 100-10 2층
109,다이닝 야경,37.5630518,126.9267051,서울 마포구 성미산로 189-6 101호
110,멘야산다이메 본점,37.5536887,126.9214444,서울 마포구 홍익로5안길 24
111,오레노라멘 망원점,37.5560793,126.9040725,서울 마포구 희우정로20길 70
