,대여소번호,보관소(대여소)명,자치구,상세주소,y,x,설치시기,LCD거치대수,QR거치대수,운영방식
0,102.0,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.5556488,126.9106293,2022-05-03,,15,QR
1,103.0,망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.55495071,126.9108353,2022-05-03,,14,QR
2,104.0,합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.55062866,126.9149857,2022-05-12,,13,QR
3,105.0,합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.55000687,126.9148254,2015-09-06,,5,QR
4,106.0,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.54864502,126.9128265,2022-05-12,,12,QR
5,107.0,신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751038,126.9185028,2021-12-28,,5,QR
6,108.0,서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.55274582,126.9186173,2021-12-28,,10,QR
7,109.0,제일빌딩 앞,마포구,서울특별시 마포구 어울마당로 26,37.54769135,126.9199829,2015-09-07,,10,QR
8,111.0,상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.54787064,126.9235306,2015-09-07,10,10,QR
9,112.0,극동방송국 앞,마포구,서울특별시 마포구 와우산로 56,37.54920197,126.9232025,2015-09-07,10,10,QR
10,113.0,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.5574379,126.9238205,2021-05-20,,25,QR
11,114.0,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706024,126.9244232,2015-09-07,,15,QR
12,118.0,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.54773331,126.9317627,2015-09-07,,10,QR
13,119.0,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.54528427,126.9310532,2015-09-07,,10,QR
14,120.0,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.54524231,126.9341126,2015-09-07,5,,LCD
15,121.0,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.54976654,126.9331741,2015-09-07,,15,QR
16,122.0,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.54745865,126.9383774,2015-09-07,,10,QR
17,124.0,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55113983,126.9369888,2015-09-07,,20,QR
18,125.0,서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.54948425,126.9389496,2015-09-07,,15,QR
19,126.0,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.55041122,126.9438477,2015-09-07,,20,QR
20,127.0,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.5535202,126.9369507,2015-09-07,,15,QR
21,129.0,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.55505371,126.9375687,2022-05-12,,10,QR
22,130.0,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.55485916,126.9361572,2015-09-07,10,,LCD
23,142.0,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.55720139,126.9556656,2016-06-29,11,,LCD
24,143.0,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.54457855,126.9502182,2016-06-29,9,,LCD
25,144.0,공덕역 8번출구,마포구,서울특별시 마포구 공덕동 438-5,37.5435791,126.9513245,2016-06-29,10,,LCD
26,145.0,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425049,126.9516373,2016-06-29,9,,LCD
27,146.0,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.53993607,126.9458237,2016-06-29,12,,LCD
28,147.0,마포역 4번출구 뒤,마포구,서울특별시 마포구 도화동 292-29,37.53927231,126.9459152,2016-06-29,7,,LCD
29,148.0,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.54234695,126.9430237,2016-06-29,11,,LCD
30,150.0,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.55295563,126.9343414,2016-06-29,15,,LCD
31,153.0,성산2교 사거리,마포구,서울특별시 마포구 성산동 54-17,37.56469727,126.9126129,2016-06-29,10,,LCD
32,154.0,마포구청역,마포구,서울특별시 마포구 망원동 477-23,37.56090927,126.9054947,2016-06-29,13,,LCD
