,name,latitude,longitude,address
0,연교,37.5615994,126.9267309,서울 마포구 연희로1길 65 1층
1,샤오바오우육면 공덕점,37.5423865,126.9489836,"서울 마포구 마포대로 73 1층 111호, 112호, 113호"
2,만두란,37.5541928,126.9110664,서울 마포구 동교로 81
3,하이디라오 홍대점,37.5572394,126.9249811,서울 마포구 양화로 176 동교동 와이즈파크 5층
4,진진,37.5578102,126.9132683,서울 마포구 잔다리로 123 1층
5,정정,37.5462333,126.9441668,서울 마포구 백범로24길 27
6,본차일드,37.5616569,126.9257729,서울 마포구 동교로38길 27-4 1층
7,이가네양꼬치 합정점,37.5499472,126.9121599,"서울 마포구 월드컵로1길 14 B118-1호,2호"
8,몽중식,37.5628337,126.9246557,서울 마포구 동교로 257 2층
9,하하,37.5632702,126.9251374,서울 마포구 동교로 263
10,부영각,37.5425356,126.9394840,서울 마포구 토정로 268
11,타오마라탕,37.5492505,126.9152997,서울 마포구 양화로6길 19 광명빌딩 2층
12,몽중헌 공덕점,37.5429892,126.9512116,서울 마포구 마포대로 92 효성 해링턴스퀘어 A동 2F
13,중화복춘 골드,37.5587571,126.9208181,서울 마포구 월드컵북로6길 42 101호
14,이가산시도삭면,37.5560940,126.9240934,서울 마포구 홍익로6길 46 1층
15,올드상해,37.5417264,126.9527425,서울 마포구 새창로 26 101호 올드상해
16,가원,37.5549192,126.9108403,서울 마포구 월드컵로 65
17,미미램양꼬치,37.5625867,126.9265912,"서울 마포구 성미산로 196 1층, 2층"
18,중화복춘 공원,37.5595498,126.9242399,서울 마포구 동교로 220-7 101
19,월량관,37.5625700,126.9253321,서울 마포구 동교로46길 10 1층
20,산동만두,37.5399853,126.9484843,서울 마포구 도화길 22-10
21,맛이차이나,37.5476137,126.9207778,서울 마포구 독막로 68
22,외백,37.5402644,126.9485962,서울 마포구 도화2길 4
23,후통,37.5549419,126.9275643,서울 마포구 와우산로29다길 14
24,일일향 마포5호점,37.5411613,126.9491816,서울 마포구 새창로2길 15-2
25,백미향,37.5473522,126.9133315,서울 마포구 성지길 27 디엠아이빌딩
26,피슈마라홍탕 상암점,37.5785473,126.8942917,"서울 마포구 매봉산로 80 Park M 1층 7호,8호"
27,상해소흘,37.5636408,126.9260174,서울 마포구 동교로 272
28,영진마라탕,37.5417888,126.9502543,서울 마포구 도화길 43 2층 삼보나눔빌딩 201호
29,불이아 홍대본점,37.5566351,126.9220077,서울 마포구 동교로 182-6
30,별자리마라탕&훠궈 무한리필 홍대점,37.5550216,126.9237159,서울 마포구 와우산로23길 50 지하1층
31,리춘시장 연남점,37.5595168,126.9235986,서울 마포구 동교로 217 1층
32,망원양꼬치,37.5555288,126.9093002,서울 마포구 월드컵로13길 17
33,디이롱,37.5601447,126.9250808,서울 마포구 동교로30길 17 1층
34,현래장,37.5383750,126.9449196,서울 마포구 마포대로 20 다보빌딩 지하1층 현래장
35,손오공마라탕 동교동점,37.5566031,126.9248711,서울 마포구 양화로18길 15 2층
36,향미 연남동점,37.5628671,126.9266397,서울 마포구 성미산로 193
37,소고산제일루,37.5521225,126.9212838,서울 마포구 잔다리로6길 40-6 2층
38,진화쿵푸마라탕 홍대본점,37.5560173,126.9239872,서울 마포구 홍익로6길 44 2층
39,작은중식당,37.5403363,126.9517584,서울 마포구 도화4길 39 1층작은중식당
40,경성양꼬치 연남직영점,37.5603164,126.9245103,서울 마포구 양화로23길 48 2층 경성양꼬치
41,신주양꼬치 홍대점,37.5503933,126.9232160,서울 마포구 와우산로 66
42,미미본관,37.5492664,126.9103192,서울 마포구 월드컵로1길 48 지하1층
43,용무있습니까 상암점,37.5810580,126.8909867,서울 마포구 성암로 267 MBC몰파크 지하1층 B117호
44,수저가,37.5493366,126.9373397,서울 마포구 광성로4길 10
45,슈츄안꼬치훠궈마라탕,37.5503915,126.9209447,서울 마포구 어울마당로 59 2층
46,심양 홍대점,37.5501809,126.9205870,서울 마포구 독막로9길 43 1층
47,대한각,37.5507149,126.9118520,서울 마포구 월드컵로3길 14 딜라이트스퀘어 226호
48,초마,37.5508817,126.9233096,서울 마포구 와우산로 72
49,훠궈나라 홍대점,37.5562571,126.9246766,서울 마포구 어울마당로 133 1층 훠궈나라
50,카이화,37.5479855,126.9214841,서울 마포구 독막로 73 2층
51,피슈마라홍탕 합정점,37.5500572,126.9119404,서울 마포구 월드컵로1길 14 마포 한강 푸르지오 A동 L층 B109-1호
52,라화쿵부 망원점,37.5552825,126.9063442,서울 마포구 월드컵로13길 70 1층 좌측호
53,복성각 마포본점,37.5422009,126.9478645,"서울 마포구 마포대로 63-8 삼창주택 지하 1층 복성각, 삼창 프라자 지하상가 - 복성각 -공덕역 1번 출구  뚜레주르 끼고 돌아서 오시면동서식품 뒷편  삼창프라자 지하상"
54,은하루,37.5500034,126.9096351,서울 마포구 월드컵로3길 56
55,라화쿵부 홍대점,37.5539108,126.9224600,서울 마포구 어울마당로 102 2층
56,하하 공덕점,37.5416508,126.9529299,서울 마포구 새창로 28
57,천지양꼬치,37.5538760,126.9057870,서울 마포구 포은로 74
58,탕화쿵푸마라탕 홍대입구7호점,37.5537274,126.9230253,서울 마포구 홍익로 15 2층 탕화쿵푸마라탕
59,사천리 훠궈,37.5585961,126.9238997,서울 마포구 동교로 210 1층
60,서룡,37.5769599,126.8915395,서울 마포구 월드컵북로 361 DMC이안오피스텔2단지 201호
61,신성각,37.5447250,126.9577875,서울 마포구 임정로 55-1
62,연희중식 마포합정본점,37.5500981,126.9105842,서울 마포구 양화로1길 32 2층
63,송탄영빈루 홍대점,37.5518426,126.9225262,서울 마포구 와우산로21길 19-16
64,뜻밖에양꼬치,37.5550957,126.9230405,서울 마포구 어울마당로 115
65,셰셰,37.5770310,126.8939138,서울 마포구 월드컵북로50길 14-6 태광빌딩 1층 셰셰
66,푸차이,37.5769830,126.8978160,서울 마포구 성암로 189 중소기업 DMC 타워
67,하얼빈덮밥,37.5561110,126.9241020,서울 마포구 홍익로6길 46 2층
68,따씽,37.5628378,126.9260606,서울 마포구 성미산로 190-4 2층
69,신강양꼬치,37.5412400,126.9450030,서울 마포구 토정로37길 21
70,산왕반점,37.5654283,126.9231784,서울 마포구 성미산로29안길 19-5
71,이가탕수6,37.5592807,126.9252742,서울 마포구 양화로23길 20
72,낭만반점,37.5631014,126.9255588,서울 마포구 동교로 266-6 낭만반점
73,동일루,37.5537307,126.9057238,서울 마포구 포은로 75
74,손오공마라탕 서교점,37.5523061,126.9203572,서울 마포구 잔다리로6길 23 2층
75,마라공방 홍대입구역직영점,37.5564832,126.9246251,서울 마포구 양화로18길 12
76,화수목,37.5486251,126.9330396,서울 마포구 창전로 70
77,동보성,37.5582520,126.9241239,서울 마포구 양화로19길 16
78,천일양꼬치,37.5566306,126.9223599,서울 마포구 월드컵북로2길 29 2층
79,황금룡,37.5551784,126.9052163,서울 마포구 포은로 90
80,짬뽕지존 마포점,37.5432502,126.9473377,서울 마포구 토정로37길 51
81,금문중화요리,37.5499686,126.9119402,서울 마포구 월드컵로1길 14 B1층
82,여명,37.5420973,126.9509522,서울 마포구 도화길 51 2층
83,5959양꼬치 망원점,37.5559708,126.9095397,서울 마포구 동교로9길 48 2층
84,백리향,37.5503416,126.9140332,서울 마포구 양화로 45 메세나폴리스 몰동 B1108호
85,주방일기,37.5574761,126.9254638,서울 마포구 양화로 178-8 2층 주방일기
86,리우,37.5638318,126.9257513,서울 마포구 동교로 271
87,개화 중식,37.5396861,126.9469491,서울 마포구 도화길 8-1
88,라향각마라탕 서교점,37.5534921,126.9171015,서울 마포구 잔다리로 65 1층 라향각마라탕
89,짬뽕지존 홍대점,37.5489681,126.9209161,서울 마포구 어울마당로 44-1 1층
90,당가원,37.5673926,126.9093402,서울 마포구 월드컵북로 173
91,연래춘,37.5555857,126.9403959,서울 마포구 신촌로22길 9
92,향미 상수점,37.5476176,126.9221930,서울 마포구 독막로 78
93,노독일처,37.5411075,126.9448756,서울 마포구 토정로37길 17
94,칭닌,37.5541537,126.9578938,서울 마포구 마포대로24길 4
95,식공간,37.5615165,126.9257281,서울 마포구 동교로38길 33 지빌딩 2층 202호
96,욜로양꼬치,37.5619470,126.9245220,서울 마포구 동교로 248 1층
97,탕화쿵푸마라탕 공덕점,37.5425431,126.9521969,서울 마포구 마포대로 92 효성해링턴스쿼어 B동 1층 5호
98,샨샨,37.5484432,126.9453239,서울 마포구 숭문길 43 1층
99,중화복춘 살롱,37.5607205,126.9233837,서울 마포구 연남로 10 1층
100,평화장,37.5419420,126.9519500,서울 마포구 새창로 18-1
101,호우양꼬치 상암점,37.5776635,126.8938518,서울 마포구 월드컵북로44길 76
102,신룽푸마라탕 홍대점,37.5536073,126.9236819,서울 마포구 홍익로 10 101동 114~115호 신룽푸마라탕
103,소림마라 마포점,37.5552017,126.9293582,서울 마포구 와우산로29길 4-40 201호
104,하이라오왕 훠궈&구이,37.5505869,126.9218151,서울 마포구 잔다리로 11
105,경성양꼬치 합정점,37.5491760,126.9103018,서울 마포구 월드컵로1길 48
106,송가,37.5625703,126.9270018,서울 마포구 성미산로 197
107,운남덮밥 홍대본점,37.5583740,126.9132056,서울 마포구 잔다리로 130 1층
108,홍칠공훠궈 한국신촌1호점,37.5554348,126.9389542,서울 마포구 신촌로 118-1
109,챠우 매화,37.5628013,126.9262766,서울 마포구 성미산로 192
110,니뽕내뽕 홍대점,37.5566122,126.9250607,서울 마포구 양화로1안길 8
111,완차이면가,37.5803815,126.8899121,서울 마포구 월드컵북로 400 지하1층 완차이면가
112,탕화쿵푸마라탕 연남점,37.5600702,126.9247201,서울 마포구 양화로23길 40 2층
113,골피식당,37.5549732,126.9270167,서울 마포구 와우산로29라길 19 반지층
114,진가,37.5609172,126.9249533,서울 마포구 동교로34길 12
115,오한수우육면가,37.5800328,126.8885854,서울 마포구 월드컵북로 402 지하1층 오한수우육면가
116,홍복,37.5637382,126.9260868,서울 마포구 동교로 274
117,진진 가연,37.5537718,126.9184586,서울 마포구 월드컵북로1길 60 1층
118,더차이 상암MBC몰점,37.5811234,126.8909890,서울 마포구 성암로 267
119,춘리마라탕 연남점,37.5622184,126.9242242,서울 마포구 동교로 249
120,리춘시장 합정역점,37.5501318,126.9178003,서울 마포구 독막로3길 46 1층
121,쌍팔반점 마포공덕점,37.5478505,126.9455160,서울 마포구 숭문길 30
122,홍콩반점0410 홍대입구역점,37.5547683,126.9236470,서울 마포구 와우산로23길 44
123,죽순,37.5580219,126.9212198,서울 마포구 동교로25길 23 1층
124,수저가,37.5508152,126.9563929,서울 마포구 마포대로16길 8 1층 수저가짬뽕
125,딘딘향,37.5550680,126.9107425,서울 마포구 월드컵로 67
126,초한초마,37.5614718,126.9033901,서울 마포구 방울내로9길 24 보령빌딩
127,후차이,37.5763946,126.8969087,서울 마포구 월드컵북로42다길 28-5 1층
128,마야 콩듀 콩짜장,37.5695759,126.9047249,서울 마포구 월드컵북로 220 월드컵빌리지 101호
129,홍콩대패당,37.5592057,126.9257089,서울 마포구 양화로23길 10-8 2층
130,송린,37.5469984,126.9227253,서울 마포구 와우산로7길 3 1층 송린
131,천리향양꼬치,37.5629369,126.9262169,서울 마포구 성미산로 190
132,춘리마라탕 공덕점,37.5445786,126.9527595,서울 마포구 만리재로 15 118호
133,동평원,37.5500550,126.9083170,서울 마포구 포은로 25
134,하이루,37.5527746,126.9065586,서울 마포구 동교로 39 1층
135,진짜루,37.5574545,126.9172483,서울 마포구 동교로19길 48
136,핑하오,37.5404680,126.9463810,서울 마포구 마포대로 45
137,대륙포차,37.5590963,126.9221697,서울 마포구 동교로27길 25 1층
138,화련,37.5462056,126.9323951,서울 마포구 창전로 42-1 1층
139,마라홀릭 마라탕 합정점,37.5515008,126.9139502,서울 마포구 양화로 45 지하1층 B1111호
140,피슈마라홍탕 마포역점,37.5395846,126.9477376,서울 마포구 삼개로 7-2 2층
141,은하장,37.5422513,126.9478033,서울 마포구 마포대로 63-8
142,홍콩식당 공덕점,37.5467840,126.9543390,서울 마포구 마포대로8안길 14 개러지키친 지하1층 7호실
143,차이나스토리 재화스퀘어점,37.5439500,126.9473749,서울 마포구 독막로 311 재화스퀘어 지하1층
144,일일향 신촌점,37.5551154,126.9356498,서울 마포구 신촌로 92 지층
145,마라1983,37.5481789,126.9206341,서울 마포구 독막로 61-6 2층
146,덕승루,37.5543734,126.9378115,서울 마포구 백범로1길 12 덕승루
147,명장,37.5479887,126.9225183,서울 마포구 와우산로 39-5 1층
148,사쓰부,37.5561505,126.9149725,서울 마포구 월드컵북로5길 68 제1층 101호
149,번산셴,37.5561729,126.9264626,서울 마포구 와우산로29길 69 하정빌딩 2층
150,중식당 조쉐프,37.5423996,126.9512754,서울 마포구 새창로 11
151,공덕132,37.5456076,126.9551769,서울 마포구 만리재옛길 18 2층 공덕132
152,세아마라탕 서강대점,37.5489717,126.9391351,서울 마포구 백범로 68
153,신화루,37.5598860,126.9023259,서울 마포구 방울내로 63
154,조원,37.5643821,126.9231944,서울 마포구 성미산로 151 1층
155,취홍,37.5563761,126.9325282,서울 마포구 신촌로 60
156,홍차이,37.5563120,126.8991373,서울 마포구 망원로 19
157,미스터서왕만두 홍대점,37.5551634,126.9296528,서울 마포구 와우산로29길 4-36 1층 101호
158,항방양꼬치홍대점,37.5499157,126.9203941,서울 마포구 독막로9길 37 1층
159,옥향루,37.5604830,126.9024732,서울 마포구 방울내로7길 14
160,더설램,37.5499536,126.9212626,"서울 마포구 어울마당로 56 2층 (서교동, 일광빌딩)"
161,손기성젠바오,37.5555079,126.9327437,서울 마포구 신촌로12길 19
162,신룽푸마라탕,37.5820946,126.8889605,서울 마포구 월드컵북로54길 25 지하1층
163,태복,37.5529977,126.9561878,서울 마포구 마포대로 211
164,홍대진짬뽕,37.5559746,126.9214933,서울 마포구 월드컵북로2길 7
165,최선생마라탕,37.5794419,126.8903226,서울 마포구 월드컵북로 396
166,시향 홍대본점,37.5532358,126.9178151,서울 마포구 잔다리로 60
167,연천홍,37.5685287,126.9079719,서울 마포구 월드컵북로30길 9
168,화미가,37.5491455,126.9220251,서울 마포구 와우산로13길 25 1층
169,서교동진향,37.5536828,126.9183760,서울 마포구 월드컵북로1길 62
170,용가,37.5486024,126.9533486,"서울 마포구 마포대로11길 7-6 2,3층"
171,수저가,37.5469128,126.9452594,서울 마포구 숭문길 7-1
172,정원,37.5644830,126.9131750,서울 마포구 월드컵북로12안길 69
173,장가방,37.5407533,126.9420193,서울 마포구 토정로 296 이연빌딩
174,콰이찬 홍대점,37.5553926,126.9191893,서울 마포구 동교로22길 1 1층
175,국향,37.5550819,126.9335690,서울 마포구 신촌로14길 19
176,풍태,37.5478815,126.9302517,서울 마포구 독막로 147-6
177,서대문양꼬치BAR,37.5624137,126.9242273,서울 마포구 동교로 251
178,양찬 공덕점,37.5420684,126.9509815,서울 마포구 도화길 51
179,백운이네,37.5558970,126.9263937,서울 마포구 와우산로29바길 5-4
180,칭칭,37.5549928,126.9262452,서울 마포구 와우산로29마길 27
181,정원각,37.5567705,126.9221174,서울 마포구 동교로 182-3
182,자운각,37.5642380,126.9033165,
183,쏘핫마라탕마라샹궈,37.5785006,126.8949416,서울 마포구 매봉산로2길 15
184,남강전통수타면,37.5775232,126.8942782,서울 마포구 매봉산로2안길 22
185,하오츠,37.5397799,126.9440299,서울 마포구 토정로 317 1층 하오츠
186,청명,37.5474882,126.9547378,서울 마포구 마포대로12길 34 1층
187,이비가짬뽕 상암점,37.5773646,126.8952373,서울 마포구 월드컵북로48길 31
188,공덕 차이나,37.5467999,126.9520479,서울 마포구 마포대로7길 11
189,천리향양꼬치,37.5487036,126.9179959,서울 마포구 양화로6길 67 서울 마포구 서교동399-24
190,하오하오,37.5602845,126.9026725,서울 마포구 방울내로7길 6
191,청운,37.5539450,126.9185576,서울 마포구 양화로15안길 19
192,북경,37.5499493,126.9151927,서울 마포구 양화로 56
193,웨이루쿼쿠이 연남본점,37.5614768,126.9267558,서울 마포구 연희로 29 대로변 1층
194,홍원,37.5523707,126.9379345,서울 마포구 백범로 23 거구장예식장
195,동북왕,37.5407753,126.9446977,서울 마포구 토정로35길 26
196,스타반점,37.5684530,126.9058196,서울 마포구 월드컵로36길 52 1층 스타반점
197,천년각,37.5623260,126.9049826,서울 마포구 월드컵로 164 2층
198,국빈 공덕점,37.5472244,126.9601653,서울 마포구 효창목4길 22-10 1층
199,화화 HuaHua,37.5562680,126.9547164,서울 마포구 굴레방로7길 13 1층
200,마포마라회관,37.5426083,126.9473125,서울 마포구 토정로37길 46 정우빌딩 지하1층
201,향미각,37.5550709,126.9199329,서울 마포구 동교로 156-16
202,홍콩반점,37.5495605,126.9113551,서울 마포구 월드컵로1길 28 2층
203,홍콩반점0410 마포서부법원점,37.5486243,126.9560449,서울 마포구 마포대로14길 11
204,설경,37.5588436,126.9048533,서울 마포구 망원로7길 31-6
205,종금양꼬치,37.5564451,126.9472357,서울 마포구 대흥로30길 21
206,셰프차이나,37.5802840,126.8830078,서울 마포구 상암산로1길 77 101호
207,선경중화요리,37.5525909,126.9070378,서울 마포구 동교로 42-1
208,모범반점,37.5823505,126.8883759,서울 마포구 월드컵북로56길 19 상암드림타워1층
209,태화루,37.5595940,126.9077709,서울 마포구 월드컵로28길 10 1층
210,진차이나,37.5414452,126.9472424,서울 마포구 마포대로 53 마포트라팰리스
211,더차이,37.5762185,126.8895758,서울 마포구 상암산로 34 디지털큐브빌딩 1층
212,삼보성,37.5451750,126.9318600,서울 마포구 창전로 32
213,마포마라탕 상암점,37.5772457,126.8941702,서울 마포구 월드컵북로44길 63 지하1층
214,만두란챠오,37.5540750,126.9106562,서울 마포구 동교로 77 1층
215,금정,37.5472445,126.9544969,서울 마포구 마포대로10길 13 LG화재
216,로얄짬뽕,37.5775930,126.8959116,서울 마포구 월드컵북로48길 46
217,금강산양꼬치,37.5774957,126.8963679,서울 마포구 성암로15길 33
218,짜장상회,37.5501873,126.9380855,서울 마포구 백범로 52
219,더마라,37.5774035,126.8908407,서울 마포구 월드컵북로 375 208호
220,소이양꼬치,37.5608827,126.9050105,서울 마포구 방울내로 88
221,남선,37.5471839,126.9592881,서울 마포구 효창목4길 4 B01호
222,하오츠,37.5467895,126.9437153,서울 마포구 백범로20길 4
223,중국성,37.5494193,126.9584407,서울 마포구 만리재옛길 68-1
224,완차이면가,37.5820926,126.8889847,서울 마포구 월드컵북로54길 25 지하1층 완차이면가
225,램스빌,37.5775188,126.8945303,서울 마포구 매봉산로2안길 19
226,우가,37.5747522,126.8955958,서울 마포구 월드컵북로43길 11
227,꼬치꼬치 양꼬치,37.5545239,126.9229506,서울 마포구 어울마당로 110 2-3층
228,이화원 중식당 상암파크엠,37.5785182,126.8940400,서울 마포구 매봉산로 80 파크 m 1층
229,매향,37.5682542,126.9111627,서울 마포구 성암로3길 27
230,찬찬,37.5565725,126.9105477,서울 마포구 성미산로2길 43 B1
231,경성양꼬치 마포점,37.5397323,126.9471635,서울 마포구 도화길 6-12
232,국빈,37.5466583,126.9400875,서울 마포구 독막로 240
233,용심마라탕,37.5787398,126.8949024,서울 마포구 매봉산로2길 9 2층
