,name,latitude,longitude,address
0,을밀대 평양냉면,37.5474904,126.9455004,서울 마포구 숭문길 24
1,옥동식,37.5526572,126.9145264,서울 마포구 양화로7길 44-10
2,함반,37.5490227,126.9100845,서울 마포구 월드컵로1길 54 1층 함반
3,곱 마포점,37.5410047,126.9493851,서울 마포구 도화길 31-1
4,조선초가한끼 마포점,37.5443339,126.9450232,서울 마포구 독막로 288 대흥 세양아파트 상가 1층
5,밀밭정원,37.5507955,126.9571941,서울 마포구 마포대로16길 13
6,낙지낚찌,37.5592549,126.9215941,서울 마포구 월드컵북로6길 60
7,신미경홍대닭갈비,37.5520857,126.9218980,서울 마포구 와우산로21길 31-10 1층
8,청어람 망원점,37.5580749,126.9074749,서울 마포구 망원로 97
9,올더플레이트,37.5618426,126.9246195,서울 마포구 동교로38길 5
10,풀뜯는돼지,37.5607968,126.9247263,서울 마포구 동교로32길 7 1층 풀뜯는돼지
11,리가든 마포직영점,37.5402024,126.9431931,서울 마포구 토정로 309 1층 리가든
12,평화연남,37.5625199,126.9247227,서울 마포구 동교로 254-1
13,경주식당,37.5484349,126.9211435,서울 마포구 와우산로13길 49-7
14,고기꾼김춘배 홍대본점,37.5528341,126.9215517,서울 마포구 홍익로3길 36 3층
15,상암회관,37.5815350,126.8886279,서울 마포구 월드컵북로54길 17 1층 상암회관
16,영광보쌈,37.5452750,126.9529500,서울 마포구 만리재로1길 14
17,수라간,37.5619497,126.9246381,서울 마포구 동교로38안길 3 1층
18,우동 이요이요,37.5410089,126.9447491,서울 마포구 토정로35길 29
19,육지,37.5497422,126.9174359,서울 마포구 독막로3길 34
20,황금콩밭,37.5509597,126.9567133,서울 마포구 마포대로16길 9
21,진미식당,37.5505962,126.9558204,서울 마포구 마포대로 186-6
22,곱창파는고깃집,37.5509462,126.9536301,서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호
23,감나무집기사식당,37.5617166,126.9221264,서울 마포구 연남로 25
24,동무밥상,37.5483269,126.9126006,서울 마포구 양화진길 10
