name,latitude,longitude,address,review,savecount,visitorreviewscore,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,school_N,dongcode,aver_sales,subway_d,store_N,rest_N,day_pop,night_pop
장꼬방,37.4983656,127.0237366,서울 서초구 강남대로61길 27,"1,020","7,000",4.45,7906,48,0,39,6,1,6,2120189,44883635.7075,392.5832055129019,97,65,681735.8,531999.19
시그니처랩 반포점,37.5045735,127.0061311,서울 서초구 신반포로 194 서울고속버스터미널 경부영동선 1층 승차홈 1번,"1,756","3,000",4.62,6537,16,41,26,8,1,0,2130299,38853853.23529412,108.05298626081414,41,27,681735.8,531999.19
하프커피 파미에스테이션점,37.5032859,127.004939,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP212호,"5,700","11,000",4.5,6537,19,41,25,7,1,0,2120167,50628679.46875,169.47278910666563,39,25,681735.8,531999.19
태양커피,37.4794454,126.9826833,서울 서초구 방배천로 32 송암빌딩 1층,543,"14,000",4.59,1095,24,188,64,7,1,4,2130274,231194935.0952381,335.9342743248085,151,105,681735.8,531999.19
프릳츠 양재점,37.4853569,127.0322383,서울 서초구 강남대로37길 24-11,"4,077","26,000",4.5,2415,30,1,13,7,1,8,2120179,20831863.30656934,250.34227000737775,24,16,681735.8,531999.19
거북이,37.4802043,126.9833927,서울 서초구 방배천로4안길 48 1층,228,"10,000",4.61,926,20,200,58,6,1,4,2110905,50000000.0,435.4682816278212,139,97,681735.8,531999.19
공미학,37.4887001,127.012415,서울 서초구 서초대로48길 101 그룹메가타워 1F,"1,644","13,000",4.4,1889,27,26,25,4,0,4,2110928,665508.0,528.177682797982,57,26,681735.8,531999.19
kuun,37.5064027,127.022479,서울 서초구 강남대로83길 18 104호,60,300,,1381,19,3,21,6,1,2,2120177,20463120.8,303.4866839241417,51,34,681735.8,531999.19
오쎄,37.479445,126.9835591,서울 서초구 방배천로4안길 32 103~203호,882,"7,000",4.61,926,25,187,57,7,1,2,2120163,3529162.0,363.8844749059211,136,95,681735.8,531999.19
잔상,37.4721358,127.0407532,서울 서초구 언남1길 3,174,"2,000",4.93,7288,20,6,20,6,1,6,2110940,9503001.666666666,312.39626469778824,20,7,681735.8,531999.19
스타벅스 서울웨이브아트센터점,37.518807,127.00704,서울 서초구 잠원로 145-35,"2,191","24,000",4.45,565,2,0,1,2,0,2,2110927,3677229.6666666665,766.9313354221886,1,1,681735.8,531999.19
생각이나서,37.4770621,126.9854602,서울 서초구 청두곶길 4 1층,129,900,,1749,31,98,40,5,1,4,2120163,3529162.0,338.3535753796136,93,62,681735.8,531999.19
누볼라,37.4943933,127.0277115,서울 서초구 강남대로53길 12 솔라티움시티 3층 307호,28,"1,000",,9575,38,1,25,4,1,6,2120189,44883635.7075,309.8896855987456,67,37,681735.8,531999.19
