tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,260,1억,299,B2/9,북향,37.552331,126.916981,21404,39,200,40,6,1,428.23609367188845,0,90,59,508151.67,471457.29,260*24+1억,162400000.0,543143.8127090301,0.03940761083743842,1,B2,9
월세,120,"1,000",150,B1/4,남동향,37.553387,126.917939,7109,40,123,34,7,0,572.252527469638,0,78,48,508151.67,471457.29,"120*24+1,000",38800000.0,258666.66666666666,0.027483247422680414,2,B1,4
월세,30,300,55,1/3,,37.554772,126.960736,5040,26,11,2,3,2,363.9205622165944,12,2,0,508151.67,471457.29,30*24+300,10200000.0,185454.54545454544,0.027176470588235295,3,1,3
월세,380,"4,000",148,2/6,북향,37.552189,126.916416,21404,39,157,38,5,1,384.1542963761441,0,91,59,508151.67,471457.29,"380*24+4,000",131200000.0,886486.4864864865,0.024144756097560977,4,2,6
월세,200,"3,000",77,2/3,남향,37.548477,126.919583,21404,28,250,46,9,1,300.36159295981014,2,96,64,508151.67,471457.29,"200*24+3,000",78000000.0,1012987.012987013,0.021129589743589743,5,2,3
월세,120,"1,500",149,B1/3,남향,37.544589,126.936279,6093,23,19,0,6,1,494.3813524998377,8,2,0,508151.67,471457.29,"120*24+1,500",43800000.0,293959.73154362413,0.020727328767123288,6,B1,3
월세,360,"5,000",253,B1/5,북동향,37.549912,126.918837,9743,27,253,48,7,2,430.01554587069165,2,106,78,508151.67,471457.29,"360*24+5,000",136400000.0,539130.4347826086,0.0180716935483871,7,B1,5
월세,150,"1,500",90,3/4,북향,37.547714,126.919229,9743,30,250,46,8,1,319.4058788185963,2,92,59,508151.67,471457.29,"150*24+1,500",51000000.0,566666.6666666666,0.017193529411764708,8,3,4
월세,120,"3,000",147,B1/4,,37.544345,126.935777,6557,22,16,0,7,1,480.58324614742224,8,1,0,508151.67,471457.29,"120*24+3,000",58800000.0,400000.0,0.0163925,9,B1,4
월세,630,1억,189,1/5,남서향,37.551646,126.918645,21404,38,236,50,7,1,495.9615380481056,0,105,74,508151.67,471457.29,630*24+1억,251200000.0,1329100.5291005292,0.016104124203821655,10,1,5
월세,140,"2,500",95,B1/4,북동향,37.556005,126.927805,9541,35,108,35,5,1,251.15398198636268,2,54,26,508151.67,471457.29,"140*24+2,500",58600000.0,616842.1052631579,0.015467491467576793,11,B1,4
월세,140,"2,000",82,B1/3,남동향,37.548224,126.919829,9743,29,250,46,7,1,272.42906153863635,2,97,64,508151.67,471457.29,"140*24+2,000",53600000.0,653658.5365853659,0.014905335820895522,12,B1,3
월세,270,"4,000",71,2/3,남향,37.54846,126.919713,21404,29,250,46,9,1,288.8359412887758,2,96,64,508151.67,471457.29,"270*24+4,000",104800000.0,1476056.338028169,0.014500801526717557,13,2,3
월세,250,"3,000",145,B1/3,동향,37.549698,126.917088,8571,30,249,48,8,1,296.3965294522686,2,109,75,508151.67,471457.29,"250*24+3,000",90000000.0,620689.6551724138,0.013808833333333333,14,B1,3
월세,200,"3,000",108,B1/4,남향,37.549231,126.918678,9743,30,250,51,8,2,404.7062654285807,2,107,74,508151.67,471457.29,"200*24+3,000",78000000.0,722222.2222222222,0.013490307692307692,15,B1,4
월세,185,"2,000",161,3/4,남향,37.545548,126.933366,5164,32,0,0,10,1,244.2625635673975,8,1,0,508151.67,471457.29,"185*24+2,000",64400000.0,400000.0,0.01291,16,3,4
월세,150,"2,000",87,B1/2,남동향,37.549539,126.920044,7825,27,252,50,8,1,319.9573866015496,2,101,70,508151.67,471457.29,"150*24+2,000",56000000.0,643678.1609195402,0.012156696428571428,17,B1,2
월세,210,"2,000",90,B1/6,남동향,37.553676,126.918353,9360,41,114,35,6,0,620.4082933740339,0,77,47,508151.67,471457.29,"210*24+2,000",70400000.0,782222.2222222222,0.011965909090909091,18,B1,6
월세,145,"3,000",119,B1/2,동향,37.556249,126.927726,6495,34,108,37,5,1,231.7858177353392,2,56,27,508151.67,471457.29,"145*24+3,000",64800000.0,544537.8151260504,0.011927546296296297,19,B1,2
월세,220,"2,000",92,1/7,북향,37.554665,126.918851,9360,45,102,38,5,0,640.546418077644,2,74,42,508151.67,471457.29,"220*24+2,000",72800000.0,791304.3478260869,0.01182857142857143,20,1,7
월세,300,"3,000",152,B1/4,북동향,37.551376,126.919451,7825,36,239,53,6,0,505.4937518427128,0,106,75,508151.67,471457.29,"300*24+3,000",102000000.0,671052.6315789474,0.011660784313725489,21,B1,4
월세,250,"3,000",149,B1/2,남향,37.539,126.950999,6943,47,1,2,3,1,451.29637960092407,4,12,7,508151.67,471457.29,"250*24+3,000",90000000.0,604026.8456375839,0.011494522222222223,22,B1,2
월세,270,"2,000",132,B1/4,남향,37.557363,126.929521,7311,20,108,41,5,1,365.43301341170303,2,77,47,508151.67,471457.29,"270*24+2,000",84800000.0,642424.2424242424,0.011380330188679245,23,B1,4
월세,90,"1,000",100,B1/3,동향,37.552192,126.9069,3589,19,48,42,5,0,515.2279238894787,2,69,38,508151.67,471457.29,"90*24+1,000",31600000.0,316000.0,0.01135759493670886,24,B1,3
