tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floor_estate,floor_buliding,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,rest_N,day_pop,night_pop,score,2nPrc,평당가격,가성비,가성비_Rank,Score_Rank,Total_Rank
월세,200,"2,000",100,2,4,37.549473,126.918152,5890,31,252,48,8,2,389.0451033543845,2,77,508151.67,471457.29,30169558.08454994,68000000.0,680000.0,0.0086617647058823,70,15,26.0
월세,330,"5,000",143,2,6,37.54828,126.917701,8571,32,240,44,7,2,373.2359160467861,2,66,508151.67,471457.29,29116106.73964919,129200000.0,903496.5034965036,0.0094864783281733,48,22,27.200000000000003
월세,540,"5,000",158,1,3,37.551059,126.917672,8571,32,244,48,6,1,389.50226077777234,2,79,508151.67,471457.29,30235566.915917702,179600000.0,1136708.8607594937,0.0075401893095768,98,13,30.0
월세,400,"3,000",112,2,5,37.54847,126.917872,8571,31,250,46,8,2,380.72459020115696,2,69,508151.67,471457.29,29702922.93217341,126000000.0,1125000.0,0.0076186666666666,92,18,32.800000000000004
월세,360,"5,000",142,2,5,37.54906,126.916351,6583,32,223,39,8,1,234.5904161331016,2,67,508151.67,471457.29,30176452.53773705,136400000.0,960563.3802816902,0.0068532697947214,120,14,35.2
월세,360,"5,000",142,2,5,37.54903,126.916466,6583,32,227,39,8,1,245.1829014191364,2,67,508151.67,471457.29,29671344.489099383,136400000.0,960563.3802816902,0.0068532697947214,121,19,39.400000000000006
월세,180,"2,000",73,2,2,37.548933,126.917475,8571,33,250,45,7,2,334.5923983260862,2,73,508151.67,471457.29,27261462.531583056,63200000.0,865753.4246575342,0.0099000474683544,45,39,40.2
월세,150,"2,000",43,B1,2,37.549145,126.917595,8571,33,250,46,8,2,341.7740715302896,2,74,508151.67,471457.29,28866857.588664092,56000000.0,1302325.5813953488,0.0065813035714285,138,25,47.6
월세,250,"3,000",92,3,5,37.54882,126.91742,8571,32,250,46,7,2,332.29603046080257,2,73,508151.67,471457.29,27087870.87599377,90000000.0,978260.8695652174,0.0087614666666666,65,44,48.2
월세,200,"1,500",36,1,3,37.547988,126.917186,8571,32,216,42,6,1,345.3209053067072,2,63,508151.67,471457.29,31667862.789358515,63000000.0,1750000.0,0.0048977142857142,225,6,49.8
월세,230,"2,000",131,3,5,37.549257,126.915489,3589,29,193,38,8,1,155.96883463576538,2,68,508151.67,471457.29,28919905.9795639,75200000.0,574045.8015267176,0.0062521143617021,154,24,50.0
월세,450,"5,000",181,B1,5,37.551462,126.918243,9743,35,241,48,5,1,455.044053924139,2,75,508151.67,471457.29,26409040.573203944,158000000.0,872928.1767955801,0.0111612848101265,26,58,51.60000000000001
월세,250,"4,000",99,4,8,37.551192,126.92027,7549,35,237,50,7,1,448.5604033654749,0,73,508151.67,471457.29,27216071.155369278,100000000.0,1010101.01010101,0.00747351,102,40,52.400000000000006
월세,120,"1,000",33,1,5,37.55157,126.917683,9743,31,236,45,6,1,419.26221519981686,2,74,508151.67,471457.29,26919562.708340827,38800000.0,1175757.5757575757,0.0082865721649484,76,50,55.2
월세,180,"2,000",84,6,6,37.549503,126.919658,7825,31,252,49,8,1,344.63325063765706,2,73,508151.67,471457.29,26355020.81775693,63200000.0,752380.9523809524,0.0104003164556962,36,60,55.2
월세,200,"3,000",56,3,4,37.549575,126.917975,8571,31,252,49,8,2,373.6468065280217,2,77,508151.67,471457.29,28147534.861785114,78000000.0,1392857.142857143,0.0061535384615384,157,31,56.2
월세,"1,200",2억,198,1,8,37.55213,126.917916,21404,38,236,42,6,1,472.80089695404695,0,68,508151.67,471457.29,26739676.16787084,488000000.0,2464646.4646464647,0.0086844098360655,69,53,56.2
월세,250,"3,000",56,1,3,37.54976,126.917694,8571,32,251,46,8,1,350.2267788113246,2,75,508151.67,471457.29,29176203.016896658,90000000.0,1607142.857142857,0.0053330666666666,201,21,57.0
월세,160,"2,500",50,1,3,37.549017,126.91753,8571,34,250,45,7,2,337.86942977032805,2,73,508151.67,471457.29,27208467.12083931,63400000.0,1268000.0,0.0067594637223974,127,42,59.0
월세,"1,000",1억,210,B1,4,37.551602,126.917272,9743,33,238,44,6,1,391.8901865393818,2,72,508151.67,471457.29,27366174.398995783,340000000.0,1619047.619047619,0.0060177352941176,160,36,60.8
월세,"1,400",2억,387,1,3,37.552472,126.919495,9360,37,216,44,6,0,606.0194618071157,0,68,508151.67,471457.29,27086525.458086573,536000000.0,1385012.9198966408,0.0067580597014925,128,45,61.6
월세,150,"2,000",55,4,5,37.552099,126.920232,7549,39,211,47,5,0,539.329735920298,2,68,508151.67,471457.29,26733736.594949093,56000000.0,1018181.8181818182,0.0074141964285714,104,54,64.0
월세,420,"5,000",93,1,1,37.549232,126.916241,6583,32,223,40,8,1,222.0635087983225,2,67,508151.67,471457.29,32265869.614433143,150800000.0,1621505.376344086,0.0040598076923076,307,4,64.60000000000001
월세,300,"6,000",80,1,5,37.548558,126.917399,8571,31,243,44,7,2,337.9904758847472,2,69,508151.67,471457.29,28442283.21567451,132000000.0,1650000.0,0.0051945454545454,208,30,65.6
월세,630,1억,189,1,5,37.551646,126.918645,21404,38,236,50,7,1,495.9615380481056,0,74,508151.67,471457.29,25826060.699286833,251200000.0,1329100.5291005292,0.0161041242038216,10,80,66.0
월세,260,1억,299,B2,9,37.552331,126.916981,21404,39,200,40,6,1,428.23609367188845,0,59,508151.67,471457.29,25593380.52178652,162400000.0,543143.8127090301,0.0394076108374384,1,83,66.60000000000001
월세,260,"4,000",102,1,3,37.551316,126.920721,7549,35,224,49,5,1,442.1938848757782,0,71,508151.67,471457.29,26288843.918689057,102400000.0,1003921.568627451,0.00751951171875,99,62,69.4
월세,180,"2,000",26,1,5,37.551877,126.918725,21404,39,229,49,7,0,515.0313036322419,0,72,508151.67,471457.29,26001791.321041428,63200000.0,2430769.230769231,0.0088054430379746,64,75,72.8
월세,300,"3,000",84,1,3,37.549014,126.917926,5890,31,250,48,8,2,372.482012271287,2,73,508151.67,471457.29,27622611.60122998,102000000.0,1214285.7142857143,0.0048505882352941,233,33,73.0
월세,150,"2,000",41,B1,2,37.549224,126.917424,8571,32,250,44,7,1,325.9498598742511,2,72,508151.67,471457.29,26629947.483452357,56000000.0,1365853.6585365853,0.0062751964285714,152,55,74.4
월세,90,"2,000",53,B1,3,37.541915,126.952101,2883,42,1,7,6,1,238.1104286425089,4,11,508151.67,471457.29,30982158.27609486,41600000.0,784905.6603773584,0.0036730528846153,347,8,75.80000000000001
