,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
0,월세,800,1억,151,1/10,남향,37.57701,126.896961
1,월세,350,"5,000",56,2/10,남동향,37.57701,126.896961
2,월세,340,"4,000",78,1/3,서향,37.577,126.896647
3,월세,800,1억,151,1/10,동향,37.57701,126.896961
4,매매,0,"12억 5,000",42,1/22,북향,37.544876,126.947963
5,월세,290,"3,000",154,2/4,북향,37.577464,126.893779
6,월세,300,"7,000",71,B1/37,남향,37.540049,126.945477
7,월세,250,"5,000",27,B1/15,동향,37.554092,126.936768
8,월세,220,"2,000",33,1/3,남서향,37.559363,126.907416
9,월세,130,"3,000",42,1/2,,37.546083,126.93954
10,월세,400,1억,63,1/3,남서향,37.553523,126.946294
11,월세,600,1억,82,1/3,남서향,37.552979,126.947721
12,매매,0,8억,24,B1/2,북서향,37.545622,126.948784
13,월세,450,1억,85,1/7,남향,37.555422,126.91509
14,월세,350,"5,000",46,1/5,남서향,37.542316,126.944642
15,월세,100,"3,000",31,1/2,남서향,37.550942,126.913787
16,월세,190,"3,500",50,1/5,남동향,37.561109,126.920106
17,매매,0,"7억 2,000",58,B1/2,남동향,37.550942,126.913787
18,월세,80,"2,000",53,B1/4,남향,37.538647,126.94762
19,월세,400,"3,000",112,2/5,남향,37.54847,126.917872
20,월세,170,"2,500",34,1/4,남향,37.545604,126.922459
21,월세,150,"2,000",89,B1/3,북향,37.546049,126.916557
22,월세,250,"2,500",58,1/2,북서향,37.561338,126.922433
23,월세,290,"2,000",49,4/5,남향,37.556357,126.904631
24,월세,350,"5,000",71,B1/2,북서향,37.556338,126.906404
25,월세,330,"5,000",50,1/23,남동향,37.545622,126.948784
26,매매,0,2억,28,B1/20,남서향,37.548792,126.910509
27,월세,120,"1,500",85,B1/4,서향,37.576066,126.895618
28,월세,350,"5,000",56,2/10,서향,37.57701,126.896961
29,매매,0,"9억 5,000",36,1/2,서향,37.552979,126.947721
30,월세,200,"3,000",24,B1/24,,37.545622,126.948784
31,월세,220,"3,000",58,3/4,남동향,37.565734,126.922985
32,월세,300,"4,000",58,B1/4,남동향,37.565734,126.922985
33,월세,65,500,26,2/3,남동향,37.580275,126.880705
34,월세,330,"4,000",58,1/4,남동향,37.565734,126.922985
35,월세,100,"1,000",30,1/3,남서향,37.55231,126.90485
36,월세,100,"1,000",30,1/3,남서향,37.55231,126.90485
37,월세,250,"3,000",76,1/4,남서향,37.558035,126.906021
38,월세,200,"3,000",58,2/4,남동향,37.565734,126.922985
39,월세,230,"3,000",59,1/5,남서향,37.553339,126.907435
40,월세,500,"1억 3,000",394,B1/15,북향,37.539047,126.944284
