,index,name,latitude,longitude,address,review,savecount,visitorreviewscore
0,0,까폼,37.5248885,127.0380137,서울 강남구 선릉로153길 18 지하1층,"1,458","59,000",4.52
1,1,애리아,37.5231850,127.0420820,서울 강남구 도산대로 420 청담스퀘어 1층 121호,85,"10,000",
2,2,미미면가,37.5200428,127.0211102,서울 강남구 강남대로160길 29,"1,486","72,000",4.27
3,3,런던 베이글 뮤지엄 도산점,37.5260746,127.0364493,"서울 강남구 언주로168길 33 1, 2층",220,"19,000",
4,4,땀땀,37.5003861,127.0279819,서울 강남구 강남대로98길 12-5,"4,317","61,000",4.39
5,5,을지다락 강남,37.4999202,127.0287954,서울 강남구 강남대로96길 22 2층,"1,705","22,000",4.53
6,6,달래해장,37.5188941,127.0207898,서울 강남구 압구정로2길 46 강남시장 1층 달래해장,394,"22,000",
7,7,꽁티드툴레아,37.5255700,127.0369045,서울 강남구 도산대로49길 39,"2,763","89,000",
8,8,현우동,37.5170958,127.0243687,서울 강남구 논현로149길 53 래성빌딩 1층,872,"53,000",4.34
9,9,호별관,37.5089127,127.0354164,서울 강남구 논현로114길 22 1층 호별관,78,"11,000",4.85
10,10,대우부대찌개 강남본점,37.5027171,127.0351854,서울 강남구 테헤란로25길 34,"1,360","25,000",4.42
11,11,도산분식 도산공원점,37.5237122,127.0379130,서울 강남구 도산대로49길 10-6 젤로빌딩,"1,111","29,000",4.22
12,12,썸띵어바웃커피,37.5028451,127.0278394,"서울 강남구 강남대로102길 30 1, 2, 3층","1,958","37,000",4.42
13,13,100년영동생갈비,37.5071361,127.0240587,서울 강남구 봉은사로1길 37 1층 100년영동생갈비,173,100,
14,14,테라스룸,37.5246397,127.0426809,서울 강남구 선릉로152길 37 올리브빌딩 테라스룸,412,"48,000",4.3
15,15,고기준 청담점,37.5256016,127.0455088,서울 강남구 도산대로75길 21,177,"3,000",4.87
16,16,호족반,37.5254194,127.0367182,서울 강남구 언주로164길 39 1층,"1,500","66,000",4.34
17,17,쮸즈,37.5195117,127.0246812,서울 강남구 도산대로17길 13,"1,487","61,000",4.37
18,18,팀호완 삼성점,37.5114017,127.0568554,서울 강남구 봉은사로86길 30 1층,"3,181","40,000",4.38
19,19,부타이 1막,37.5061805,127.0600012,서울 강남구 테헤란로88길 22,"1,438","35,000",4.48
20,20,뉴만두집,37.5278703,127.0389285,서울 강남구 압구정로 338,999,"60,000",4.36
21,21,진미평양냉면,37.5161247,127.0360501,서울 강남구 학동로 305-3,"2,232","59,000",4.31
22,22,딤딤섬 파르나스몰점,37.5088767,127.0605861,서울 강남구 테헤란로 521 파르나스몰 지하 1층,"2,544","11,000",4.32
23,23,바비레드 강남본점,37.5026625,127.0278787,서울 강남구 봉은사로6길 39 바비레드,"3,000","29,000",4.41
24,24,엘빈에비뉴라운지,37.4989459,127.0285053,"서울 강남구 강남대로92길 13 지하1, 2층",20,400,
25,25,선데이 버거 클럽,37.5265580,127.0367721,서울 강남구 언주로170길 37 201호,659,"34,000",4.53
26,26,갓잇 도산공원점,37.5253345,127.0355021,서울 강남구 언주로164길 24 아크로스빌딩 지상1층 GODEAT,"1,116","16,000",4.62
27,27,중앙해장,37.5082495,127.0655417,서울 강남구 영동대로86길 17 육인빌딩,"3,897","65,000",4.42
28,28,가람국시,37.5167846,127.0340799,서울 강남구 언주로135길 13,481,"9,000",
29,29,트리오드,37.4997078,127.0295421,서울 강남구 강남대로94길 28 유니언타운 L층,"1,305","30,000",4.56
30,30,스케줄청담,37.5245911,127.0426883,서울 강남구 선릉로152길 37 1층,722,"37,000",
31,31,카페 노티드 청담,37.5241930,127.0383006,서울 강남구 도산대로53길 15 1층,"15,482","76,000",4.44
32,32,페어링룸,37.5254116,127.0478303,서울 강남구 도산대로81길 14 청담동 1층,"5,268","40,000",4.49
33,33,달마시안,37.5262798,127.0345435,서울 강남구 압구정로42길 42,717,"43,000",
34,34,신동궁감자탕 역삼본점,37.4978625,127.0329328,서울 강남구 테헤란로10길 21,"1,149","26,000",4.3
35,35,차이들 언주점,37.5070406,127.0355304,서울 강남구 언주로107길 46 지하 1층 B01호,81,"1,000",
36,36,구구당,37.5032957,127.0278842,서울 강남구 강남대로102길 35 구구당,"3,122","49,000",4.51
37,37,카페무니 압구정본점,37.5267821,127.0398016,서울 강남구 압구정로56길 16,338,"25,000",
38,38,우미학,37.5239078,127.0294669,서울 강남구 압구정로30길 51,346,"8,000",4.41
39,39,고메램 삼성점,37.5090498,127.0571402,"서울 강남구 삼성로96길 15 송영빌딩, 삼성역 5번 출구, 도심공항터널 건너편에 위치하고 있습니다.전화 주시면 자세한 위치 설명을 해드립니다.tel. 02 - 553 -","1,121","7,000",4.47
40,40,알로하테이블 코엑스파르나스몰점,37.5095449,127.0608688,서울 강남구 테헤란로 521 파르나스몰 지하1층,"1,375","2,000",4.37
41,41,포스터리 베이커,37.5272754,127.0355823,서울 강남구 압구정로42길 25-5 포스터리 베이커,400,"27,000",
42,42,다운타우너 청담,37.5240852,127.0385500,서울 강남구 도산대로53길 14 1층,"3,141","32,000",4.61
43,43,후추포인트,37.5030882,127.0273318,서울 강남구 봉은사로6길 30 1층,590,"34,000",
44,44,60년전통 신촌황소곱창 논현직영점,37.5097425,127.0230474,"서울 강남구 강남대로128길 10 1, 2층",598,"1,000",4.43
45,45,다이닝 목로,37.5234615,127.0378109,서울 강남구 도산대로49길 6-7 1층 목로,413,"9,000",4.65
46,46,묵전,37.5260670,127.0353880,서울 강남구 언주로168길 22,723,"27,000",4.45
47,47,우와,37.5191307,127.0203178,서울 강남구 강남대로158길 17 1층,905,"38,000",4.49
48,48,해목,37.5215104,127.0383167,서울 강남구 선릉로145길 14,427,"42,000",4.5
49,49,리틀넥 청담,37.5242561,127.0377825,서울 강남구 도산대로51길 17,"2,160","74,000",4.5
50,50,장인닭갈비 강남점,37.4996548,127.0274938,서울 강남구 테헤란로1길 19,"1,832","18,000",4.28
51,51,을밀대 강남점,37.4953797,127.0303690,"서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 B-147,148,149호",694,"10,000",4.31
52,52,벽돌해피푸드 압구정점,37.5254935,127.0382686,서울 강남구 도산대로51길 36 1층,546,"32,000",4.46
53,53,아우어베이커리 가로수길점,37.5209263,127.0215176,서울 강남구 강남대로162길 39,"3,087","38,000",4.46
54,54,한성칼국수 논현본점,37.5204250,127.0355282,서울 강남구 언주로148길 14 청호상가빌딩 가동 2층,553,"38,000",4.14
55,55,마일스톤 커피,37.5218476,127.0243525,서울 강남구 논현로159길 49,"1,566","50,000",4.62
56,56,농민백암순대 본점,37.5037000,127.0530139,서울 강남구 선릉로86길 40-4,"2,042","53,000",4.5
57,57,핫쵸,37.5208541,127.0235878,서울 강남구 도산대로15길 32-10 지하 1층,414,"49,000",4.46
58,58,르브런쉭 신사점,37.5219865,127.0210733,서울 강남구 강남대로162길 41-22 오로라빌,647,"15,000",4.34
59,59,위트앤미트 강남점,37.5037803,127.0274523,서울 강남구 강남대로110길 32 1층,436,"47,000",
60,60,클로리스 코엑스몰점,37.5119033,127.0590498,서울 강남구 봉은사로 524 코엑스몰 B1 I109,"2,405","5,000",4.49
61,61,클랩피자 청담점,37.5240873,127.0365596,서울 강남구 압구정로46길 71 1층,"2,475","38,000",4.52
62,62,한추,37.5240032,127.0233572,서울 강남구 논현로175길 68,866,"31,000",4.19
63,63,라브리크 서울,37.5024254,127.0279629,서울 강남구 봉은사로18길 66 라브리크,103,"9,000",
64,64,뉴욕라츠오베이글스,37.5266913,127.0368451,서울 강남구 압구정로48길 28 건물전체,"1,379","38,000",4.54
65,65,가배도 신논현,37.5040370,127.0259473,"서울 강남구 강남대로110길 13 2,3층",762,"22,000",4.41
66,66,이웃집통통이 로데오점,37.5273530,127.0388073,서울 강남구 선릉로161길 19 1층,354,"10,000",4.58
67,67,아베크 청담,37.5258541,127.0392088,서울 강남구 선릉로 823 1층,441,"14,000",4.39
