,name,latitude,longitude,address,review,savecount,visitorreviewscore
0,칼리프하우스,37.5249656,127.0364917,서울 강남구 도산대로49길 29-8,23,"7,000",
1,런던 베이글 뮤지엄 도산점,37.5260746,127.0364493,"서울 강남구 언주로168길 33 1, 2층",310,"23,000",
2,꽁티드툴레아,37.5255700,127.0369045,서울 강남구 도산대로49길 39,"2,813","91,000",
3,썸띵어바웃커피,37.5028451,127.0278394,"서울 강남구 강남대로102길 30 1, 2, 3층","1,977","38,000",4.42
4,올드페리도넛 가로수길점,37.5204150,127.0212986,"서울 강남구 강남대로160길 35-5 지하1층 1층, 2층",91,"1,000",
5,카페 노티드 청담,37.5241930,127.0383006,서울 강남구 도산대로53길 15 1층,"15,635","76,000",4.44
6,라브리크 서울,37.5024254,127.0279629,서울 강남구 봉은사로18길 66 라브리크,123,"11,000",
7,르브런쉭 신사점,37.5219865,127.0210733,서울 강남구 강남대로162길 41-22 오로라빌,656,"15,000",4.34
8,이웃집통통이 로데오점,37.5273530,127.0388073,서울 강남구 선릉로161길 19 1층,392,"12,000",4.58
9,마일스톤 커피,37.5218476,127.0243525,서울 강남구 논현로159길 49,"1,581","52,000",4.62
10,듀자미,37.5193446,127.0225353,서울 강남구 도산대로11길 28,"2,267","24,000",4.3
11,카페무니 압구정본점,37.5267821,127.0398016,서울 강남구 압구정로56길 16,379,"27,000",
12,아우어베이커리 가로수길점,37.5209263,127.0215176,서울 강남구 강남대로162길 39,"3,098","38,000",4.46
13,트리오드,37.4997078,127.0295421,서울 강남구 강남대로94길 28 유니언타운 L층,"1,303","31,000",4.56
14,버터풀앤크리멀러스,37.5269443,127.0387019,서울 강남구 언주로172길 59 1층,542,"26,000",4.49
15,모센즈스위트 신사점,37.5179722,127.0208991,서울 강남구 강남대로154길 21,58,"2,000",
16,클로리스 코엑스몰점,37.5119033,127.0590498,서울 강남구 봉은사로 524 코엑스몰 B1 I109,"2,462","5,000",4.49
17,포스터리 베이커,37.5272754,127.0355823,서울 강남구 압구정로42길 25-5 포스터리 베이커,443,"29,000",
18,가배도 신논현,37.5040370,127.0259473,"서울 강남구 강남대로110길 13 2,3층",771,"23,000",4.41
19,에이비카페 At Bali,37.5029431,127.0278949,서울 강남구 강남대로102길 32,"2,910","27,000",4.44
20,오아시스 청담점,37.5248213,127.0405303,서울 강남구 도산대로55길 20 영빌딩 1층,"1,335","40,000",
21,프론트서울,37.5193745,127.0222986,서울 강남구 도산대로11길 29 1층 FRONT SEOUL,47,"1,000",
22,뉴욕라츠오베이글스,37.5266913,127.0368451,서울 강남구 압구정로48길 28 건물전체,"1,407","38,000",4.54
23,카멜커피,37.5234579,127.0359843,서울 강남구 도산대로45길 16-8,"1,653","41,000",4.43
24,구테로이테,37.5176727,127.0396496,서울 강남구 선릉로131길 16 1층 구테로이테,"1,457","22,000",4.73
25,알베르,37.5030220,127.0281051,서울 강남구 강남대로102길 34,"1,857","36,000",4.38
26,누데이크 하우스 도산,37.5254466,127.0356153,서울 강남구 압구정로46길 50 하우스 도산 B1,"1,335","51,000",
27,샌드커피 논탄토 신사,37.5209173,127.0239017,서울 강남구 도산대로17길 35 1F,655,"28,000",4.47
28,정월,37.5036729,127.0286442,서울 강남구 강남대로102길 46 1층,"1,361","29,000",4.46
29,고센인코퍼레이티드 청담점,37.5252858,127.0414762,서울 강남구 선릉로158길 18,521,"19,000",4.12
30,SADDLER HAUS,37.5193887,127.0249425,서울 강남구 도산대로17길 10 B1 새들러하우스,"5,050","84,000",4.55
31,홍팥집 양재점,37.4868184,127.0356587,서울 강남구 남부순환로359길 31 1층,827,"6,000",4.47
32,블루보틀 역삼 카페,37.4999191,127.0323765,서울 강남구 테헤란로 129 강남N타워 G층,"1,315","9,000",4.41
33,쿠라우니,37.5189972,127.0221056,서울 강남구 강남대로156길 39,906,"22,000",4.44
34,테라로사 포스코센터점,37.5060634,127.0560829,서울 강남구 테헤란로 440 1층,"4,730","17,000",4.48
