,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
4,B000001881,서울은빛초등학교,초등학교,2011-05-09,공립,본교,운영,서울특별시 은평구 진관동 41-25,서울특별시 은평구 진관3로 73-17,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-07-05,37.642661658,126.91908014,2021-09-15,7001220,한국교원대학교
5,B000011962,누원고등학교,고등학교,2003-05-06,공립,본교,운영,서울특별시 도봉구 도봉동 646,서울특별시 도봉구 마들로 849,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.685568958,127.04993268,2021-09-15,7001220,한국교원대학교
9,B000002080,화랑초등학교,초등학교,1968-05-20,사립,본교,운영,서울특별시 노원구 공릉동 27-22,서울특별시 노원구 화랑로 621,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.628782658,127.08899151,2021-09-15,7001220,한국교원대학교
10,B000011992,인창고등학교,고등학교,1953-10-10,사립,본교,운영,서울특별시 서대문구 충정로2가 70,서울특별시 서대문구 경기대로 65,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-07-05,37.564885131,126.9640232,2021-09-15,7001220,한국교원대학교
15,B000002210,서울신목초등학교,초등학교,1982-04-08,공립,본교,운영,서울특별시 양천구 신정동 281-2,서울특별시 양천구 신목로5길 11-6,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.516610977,126.87264081,2021-09-15,7001220,한국교원대학교
16,B000008118,은평중학교,중학교,1984-05-04,공립,본교,운영,서울특별시 은평구 구산동 182-44,서울특별시 은평구 갈현로17나길 12-1,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-07-05,37.61061869,126.90834718,2021-09-15,7001220,한국교원대학교
26,B000002169,서울길동초등학교,초등학교,1974-06-07,공립,본교,운영,서울특별시 강동구 길동 362,서울특별시 강동구 양재대로116길 69,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.5385062,127.14497294,2021-09-15,7001220,한국교원대학교
33,B000002401,서울개운초등학교,초등학교,2002-07-10,공립,본교,운영,서울특별시 성북구 돈암동 2-8,서울특별시 성북구 정릉로48길 52,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-07-05,37.601839017,127.02759622,2021-09-15,7001220,한국교원대학교
38,B000002133,서울송전초등학교,초등학교,1978-10-31,공립,본교,운영,서울특별시 송파구 잠실동 44-2,서울특별시 송파구 석촌호수로 159,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.50881326,127.09512646,2021-09-15,7001220,한국교원대학교
43,B000001851,서울홍파초등학교,초등학교,1960-07-05,공립,본교,운영,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-07-05,37.58622252,127.03951986,2021-09-15,7001220,한국교원대학교
44,B000001918,서울대신초등학교,초등학교,1965-03-10,공립,본교,운영,서울특별시 서대문구 대현동 67-1,서울특별시 서대문구 이화여대2길 27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-07-05,37.55795026,126.94805724,2021-09-15,7001220,한국교원대학교
45,B000008298,성덕여자중학교,중학교,1977-09-05,사립,본교,운영,서울특별시 강동구 천호동 23-3,서울특별시 강동구 구천면로 396,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.549963666,127.14190386,2021-09-15,7001220,한국교원대학교
46,B000008139,한성중학교,중학교,1928-09-25,사립,본교,운영,서울특별시 서대문구 북아현동 170-1,서울특별시 서대문구 북아현로1길 24,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-07-05,37.55909644,126.95445648,2021-09-15,7001220,한국교원대학교
