,기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,형태정보,longitude,latitude
0,202112,A,골목상권,2110753,시흥동 은행나무사거리,191934,438813,11545,11545710,,126.90884426244729,37.448687252791416
1,202112,A,골목상권,2110427,노원 을지대학교병원,206265,459431,11350,11350611,,127.0709781210762,37.634469187048175
2,202112,A,골목상권,2110755,동일여자고등학교,192300,439070,11545,11545680,,126.91297782653986,37.45100597335112
3,202112,A,골목상권,2110739,시흥3동 우편취급국,191289,438014,11545,11545690,,126.90156440931558,37.441482310621666
4,202112,A,골목상권,2111017,송파나루역 3번,210222,445516,11710,11710562,,127.11561416148406,37.509060482931616
5,202112,A,골목상권,2110249,중화역 1번,207203,456106,11260,11260600,,127.08157226664564,37.60450450020806
6,202112,A,골목상권,2110963,역삼월드메르디앙아파트,203260,443659,11680,11680640,,127.03686347002896,37.49237962946542
7,202112,A,골목상권,2110332,돌곶이역 3번,205155,457004,11290,11290770,,127.05838548979825,37.61260913342865
8,202112,A,골목상권,2110245,KB국민은행 중화동지점,206928,455306,11260,11260610,,127.07845039068405,37.59729869290797
9,202112,A,골목상권,2110719,영서중학교,190510,443238,11530,11530540,,126.89269435804749,37.48854340850656
10,202112,A,골목상권,2110932,서울시인재개발원,202065,442758,11650,11650510,,127.02334810818567,37.48426499246988
11,202112,A,골목상권,2110933,한국상담대학원대학교,202091,443006,11650,11650510,,127.02364278364563,37.48649943455552
12,202112,A,골목상권,2110868,남부초등학교,193242,442825,11620,11620685,,126.92358947871544,37.48484626668459
13,202112,A,골목상권,2110395,신한은행 방학동지점,203210,462708,11320,11320690,,127.03638149118464,37.66401014805241
14,202112,A,골목상권,2110393,국민은행방학지점,202918,462499,11320,11320710,,127.03307118732093,37.662128072038485
15,202112,A,골목상권,2110114,왕십리파출소,202802,451995,11200,11200535,,127.03171627870393,37.56748860942368
16,202112,A,골목상권,2110760,선유도역 6번,190474,448534,11560,11560620,,126.89221870299178,37.53626013747753
17,202112,A,골목상권,2111068,강동성심병원,211971,448499,11740,11740685,,127.13544445389259,37.53591629984992
18,202112,A,골목상권,2110619,목4동주민센터,188177,448004,11470,11470540,,126.86623803600335,37.531458265899175
19,202112,A,골목상권,2110093,우사단길,200013,448122,11170,11170685,,127.00014708046909,37.5325971987561
20,202112,A,골목상권,2110734,금천파출소,191061,439380,11545,11545670,,126.89897142962283,37.45378797071147
21,202112,A,골목상권,2111030,방이역 2번,211453,445218,11710,11710570,,127.12953250356634,37.50636104722695
22,202112,A,골목상권,2110573,신촌역 6번,194606,450433,11440,11440600,,126.93895596031699,37.553403518674926
23,202112,A,골목상권,2110053,청구역 1번,201114,451386,11140,11140615,,127.01260861712656,37.56200512940595
24,202112,A,골목상권,2110972,강남세브란스병원미래의학연구센터,203786,443905,11680,11680650,,127.04281264335714,37.494594100718025
25,202112,A,골목상권,2110911,방배배수지체육공원,199109,441478,11650,11650620,,126.98992737615963,37.47273394962857
